idx,pact,active,novelty,vina,aff_pred_value,aff_prob_binary
45,4.9208,0,analog,-8.893,0.5757453441619873,0.8106626272201538
46,8.4202,1,analog,,,
47,4.7082,0,analog,-10.48,0.6522001624107361,0.7956381440162659
48,5.4643,0,novel,-8.373,-0.10816287994384766,0.4448016285896301
49,4.3251,0,analog,-8.137,0.08315815031528473,0.7822948694229126
50,5.4841,0,analog,-9.762,-0.5383384227752686,0.8108709454536438
51,4.4217,0,novel,-8.115,1.445685625076294,0.32745328545570374
52,5.5528,0,novel,-9.343,-0.049470990896224976,0.4489879310131073
53,4.3872,0,analog,-8.3,0.5628254413604736,0.8828625679016113
54,8.0,1,analog,,-0.28944915533065796,0.6236839890480042
55,6.2366,0,analog,,0.2928163409233093,0.5147988200187683
56,8.3635,1,analog,-8.214,1.872173547744751,0.8844514489173889
57,6.5376,1,analog,-8.539,-1.0091125965118408,0.8739866018295288
58,9.5229,1,analog,-9.285,-0.2671048641204834,0.9106872081756592
59,9.3768,1,analog,,-0.4369979500770569,0.7006060481071472
60,8.2933,1,analog,-9.048,-0.23744648694992065,0.8040984869003296
61,8.1612,1,analog,,-0.23324212431907654,0.721165120601654
62,4.0969,0,analog,-9.253,0.7602894306182861,0.832361102104187
63,4.4685,0,analog,-8.748,0.9587529301643372,0.8316048979759216
64,6.699,1,analog,-9.463,1.4608291387557983,0.6596836447715759
65,7.1549,1,analog,-8.423,1.1500868797302246,0.4714227020740509
66,8.8861,1,analog,,-0.4511159360408783,0.7140190005302429
67,4.4318,0,analog,-8.172,0.01089765876531601,0.8817140460014343
68,4.1549,0,novel,-8.432,-0.307866632938385,0.8949784636497498
69,5.1549,0,analog,-8.477,-0.6808028221130371,0.9140214920043945
70,4.4949,0,analog,-8.852,0.3518460690975189,0.8203006982803345
71,9.3372,1,analog,,-0.6818101406097412,0.6721059083938599
72,5.8539,0,analog,-8.487,-1.0875177383422852,0.8985617756843567
73,4.3188,0,analog,-8.636,0.8578957319259644,0.8759660124778748
74,4.8539,0,novel,-8.312,-1.0405009984970093,0.7344029545783997
75,6.1487,0,analog,-10.21,-0.3255183696746826,0.8798036575317383
76,8.699,1,analog,-7.983,-1.0535537004470825,0.9856204986572266
77,5.2076,0,novel,-9.484,-0.5628837943077087,0.6779443025588989
78,4.7447,0,novel,-8.275,-0.5197108387947083,0.684777557849884
79,7.7447,1,analog,-9.455,-0.44261524081230164,0.9297610521316528
80,8.585,1,analog,-8.311,-0.5328466892242432,0.9824411273002625
81,7.9586,1,analog,-10.1,-1.0104737281799316,0.9354884624481201
82,6.8239,1,analog,-9.078,0.36119765043258667,0.8265326023101807
83,8.4437,1,analog,-8.668,-0.2048037201166153,0.9615037441253662
84,10.1487,1,analog,-9.254,-1.4426512718200684,0.9748975038528442
85,9.1308,1,analog,-9.005,-1.5419944524765015,0.9658847451210022
86,8.0706,1,analog,-8.177,-0.4773900508880615,0.8035107851028442
87,6.5528,1,analog,-8.567,-0.005911052227020264,0.9373734593391418
88,7.1805,1,analog,-8.843,0.1381697952747345,0.770523190498352
89,7.585,1,analog,-9.461,0.041647493839263916,0.5587313175201416
90,9.4437,1,analog,,-0.6529830694198608,0.931547999382019
91,7.3665,1,analog,-9.517,0.47298216819763184,0.1826280802488327
92,4.9234,0,analog,-8.717,0.45144641399383545,0.22044147551059723
93,4.6383,0,novel,-8.3,0.19631758332252502,0.9063106775283813
94,7.699,1,analog,,0.10655379295349121,0.7974229454994202
95,10.0,1,analog,-8.944,-1.4212610721588135,0.9837263822555542
96,6.8016,1,analog,-9.343,-0.20825731754302979,0.9051377177238464
97,7.6021,1,analog,,-0.9327081441879272,0.813971996307373
98,4.7696,0,analog,-8.941,1.5736730098724365,0.8061321973800659
99,7.6968,1,analog,-8.119,0.5045937299728394,0.8508707880973816
100,10.0,1,analog,-9.578,-1.3502306938171387,0.9725416898727417
101,8.4544,1,analog,,-0.43477863073349,0.6961562633514404
102,4.1549,0,novel,-9.063,0.7983555793762207,0.8458032011985779
103,9.0,1,analog,-9.694,-0.9054834842681885,0.9073292016983032
104,8.284,1,analog,-8.584,0.25408387184143066,0.8860870599746704
105,7.8794,1,analog,-8.103,0.9206264019012451,0.8750849962234497
106,6.3355,0,analog,-9.455,-0.33050471544265747,0.9371249079704285
107,5.0,0,novel,-8.809,0.15226441621780396,0.9225233197212219
108,5.9208,0,analog,-8.77,1.2566993236541748,0.7968807816505432
109,8.9586,1,analog,-9.397,-0.44729024171829224,0.9590614438056946
110,10.8386,1,analog,,-0.29256534576416016,0.6556297540664673
111,6.706,1,analog,-9.691,0.5141744613647461,0.9303895235061646
112,5.1367,0,analog,-9.884,0.2695502042770386,0.9237977266311646
113,5.3468,0,analog,-9.923,-0.2894391417503357,0.8873860239982605
114,5.4202,0,analog,-9.311,-1.1490459442138672,0.8956773281097412
115,7.041,1,analog,-8.505,-0.47993385791778564,0.8426617383956909
116,9.3979,1,analog,-9.516,-1.6723835468292236,0.9780563116073608
117,5.3372,0,analog,-9.824,-0.3499673306941986,0.8838906288146973
118,8.5229,1,analog,-9.387,-1.8865094184875488,0.9894496202468872
119,5.3979,0,analog,-9.644,-0.9532136917114258,0.8393968343734741
120,10.301,1,analog,-8.865,-2.6440305709838867,0.9902075529098511
121,6.2518,0,analog,-9.429,-1.2016716003417969,0.9369556903839111
122,5.7212,0,analog,-9.469,-1.6088378429412842,0.9110531806945801
123,5.0,0,analog,-8.296,-0.010113107040524483,0.9084306359291077
124,9.2007,1,analog,-10.55,-2.3612008094787598,0.9912883043289185
125,9.2924,1,analog,-9.473,-1.668583869934082,0.9857773780822754
126,6.1938,0,analog,-9.376,0.3184261620044708,0.49339422583580017
127,8.0458,1,analog,-8.458,0.31854379177093506,0.9164447784423828
128,8.6778,1,analog,-9.573,-1.435280203819275,0.9768044948577881
129,8.9208,1,analog,-9.093,0.01826748251914978,0.963496208190918
130,6.0555,0,analog,-8.287,0.6915362477302551,0.7894027233123779
131,7.0269,1,analog,-8.051,-0.038447678089141846,0.7871370315551758
132,8.4437,1,analog,-9.779,-1.3984484672546387,0.946703314781189
133,7.4202,1,analog,-8.066,0.4508393406867981,0.6686537861824036
134,7.1675,1,analog,-8.081,0.9075360298156738,0.7260369062423706
135,7.5086,1,analog,-7.96,0.5299690961837769,0.7489068508148193
136,7.7696,1,analog,-8.62,0.9547924995422363,0.7990206480026245
