smiles,vina_kcal_mol,predicted_safety,qed,synth_solvable_prob,applicability_domain,cand_score,confidence_tier
COC(=O)C1=C(c2ccc(S(C)(=O)=O)cc2)CCC1,-5.89,0.5356,0.7964,0.72,in-domain,2.2713724799999997,reliable-ADMET (docking pose-plausible hypothesis)
CCc1ccc(S(=O)(=O)N[C@@H]2c3cc(NC(=O)CNc4ccccc4)ccc3CC[C@H]2O)cc1,-7.05,0.3385,0.3947,0.928,in-domain,2.2146024,reliable-ADMET (docking pose-plausible hypothesis)
CN(CCCc1c[nH]c2ccc(F)cc12)C1COc2ccc3c(c2C1)C(=O)NCC3,-6.74,0.4494,0.6811,0.7295,low (out-of-domain),2.2096234020000005,LOW (out-of-domain)
COC(=O)C1CCN(Cc2coc(-c3ccc(Cl)cc3Cl)n2)CC1,-6.01,0.373,0.7619,0.9718,in-domain,2.178513214,reliable-ADMET (docking pose-plausible hypothesis)
COCCNC(=O)c1ccc2c(c1)C(=O)c1ccc(Nc3ccc(F)cc3F)cc1CC2,-6.79,0.3382,0.5619,0.9472,in-domain,2.1751292416,reliable-ADMET (docking pose-plausible hypothesis)
CS(=O)(=O)N1CC2(CCN(C(=O)[C@H](COCc3ccc(Cl)cc3)NCc3ccccc3)CC2)c2ccccc21,-7.76,0.321,0.4157,0.8673,in-domain,2.1604096079999997,reliable-ADMET (docking pose-plausible hypothesis)
O=C(O)c1cccc(NC(=O)c2cn(-c3ccccc3)nc2-c2ccc([N+](=O)[O-])cc2)c1,-7.11,0.3186,0.3461,0.9473,low (out-of-domain),2.1458675358,LOW (out-of-domain)
CC1(C)Oc2ccsc2[C@@H](N2CCCC2)[C@@H]1O,-5.32,0.7196,0.834,0.5551,in-domain,2.1250737872000003,reliable-ADMET (docking pose-plausible hypothesis)
CC12CN3CC(C)(CN(C1)C31CCSCC1)C2=O,-5.1,0.5993,0.6618,0.6678,low (out-of-domain),2.041083954,LOW (out-of-domain)
C[C@@H]1OC(c2ccccc2OCc2ccccc2)=N[C@@H]1C(=O)OCc1ccccc1,-6.05,0.3751,0.5455,0.8983,in-domain,2.0385615965,reliable-ADMET (docking pose-plausible hypothesis)
N#Cc1cc([N+](=O)[O-])ccc1Oc1ccc(Cl)c(Cl)c1,-5.78,0.3541,0.6146,0.9779,low (out-of-domain),2.0014659742000003,LOW (out-of-domain)
CCC(CC)(Cc1nc2c(F)cc(OCc3ccc(C)cn3)cc2n1Cc1ccc(C)cc1)C(=O)O,-7.02,0.3094,0.285,0.9145,in-domain,1.9862830259999997,reliable-ADMET (docking pose-plausible hypothesis)
CCOC(=O)c1c(-c2ccccc2)cn2c1c(-c1ccc(CN3CCC(c4nnc(-c5ccccn5)[nH]4)CC3)cc1)nc1ccccc12,-6.47,0.5609,0.1724,0.547,in-domain,1.985075581,reliable-ADMET (docking pose-plausible hypothesis)
NS(=O)(=O)c1ccc(CCNc2nc(NC(CO)C(=O)O)nc(NC(CO)C(=O)O)n2)cc1,-6.45,0.3775,0.1511,0.7999,low (out-of-domain),1.9476565125,LOW (out-of-domain)
Fc1ccc(Nc2n[nH]c3cc(OC(F)(F)F)cnc23)nc1,-6.39,0.3274,0.7266,0.9187,low (out-of-domain),1.9219994082,LOW (out-of-domain)
CC(=O)Nc1ccc(OCCN2CCCn3c2nc2c3c(=O)n(C)c(=O)n2C)cc1,-6.62,0.3102,0.6611,0.9297,in-domain,1.9091612627999999,reliable-ADMET (docking pose-plausible hypothesis)
C#CCN(CC(=C)F)C(=O)[C@@]1(c2ccc3c(c2)OCCO3)C[C@H]1CN,-6.22,0.7559,0.7967,0.4024,in-domain,1.8919632751999997,reliable-ADMET (docking pose-plausible hypothesis)
O=C(O)CCC[C@H](O)[C@@H](/C=C\CCCCCCCCc1ccccc1)Sc1ccc(C(=O)O)cc1,-5.68,0.6835,0.1164,0.4747,in-domain,1.842918316,reliable-ADMET (docking pose-plausible hypothesis)
COc1cc(-c2cc(/C=C/c3ccc(O)cc3)n[nH]2)ccc1O,-6.54,0.296,0.687,0.9397,in-domain,1.819108848,reliable-ADMET (docking pose-plausible hypothesis)
CCOC(=O)[C@H]1C[C@]12C(=O)Nc1ccc(-c3ccco3)cc12,-6.72,0.5302,0.8844,0.5102,in-domain,1.8178140288,reliable-ADMET (docking pose-plausible hypothesis)
Cc1cc(NC(=O)c2ccccc2Cl)ccc1NC(=O)c1ccccc1,-6.88,0.2617,0.6719,0.9836,in-domain,1.7709678655999999,reliable-ADMET (docking pose-plausible hypothesis)
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)NCCNC)cc3)[nH]c2n(CCC)c1=O,-5.99,0.3427,0.3821,0.8584,low (out-of-domain),1.7621003432000002,LOW (out-of-domain)
CC1(C)OC[C@H](Cn2cc(-c3ccc([N+](=O)[O-])cc3)nn2)O1,-7.0,0.3648,0.6334,0.6831,in-domain,1.7443641600000004,reliable-ADMET (docking pose-plausible hypothesis)
COc1ccc(/C=C/C(=O)NCCNc2ccnc3cc(Cl)ccc23)cc1OC,-5.88,0.3039,0.4301,0.9715,in-domain,1.736004438,reliable-ADMET (docking pose-plausible hypothesis)
c1cc2cc(CNc3nc(NCC4CC4)nc4ccsc34)ccc2o1,-7.67,0.2439,0.5192,0.8988,low (out-of-domain),1.6813968444,LOW (out-of-domain)
Cc1ccc2c(c1)c(-c1ccc[nH]c1=O)c(C(=O)NS(=O)(=O)C(C)C)n2Cc1cc(F)ccc1F,-6.99,0.2759,0.4172,0.8552,in-domain,1.6492882631999999,reliable-ADMET (docking pose-plausible hypothesis)
O=C(COC(=O)/C=C/c1cccc(C(F)(F)F)c1)Nc1cccc2ccccc12,-6.59,0.2544,0.4824,0.9796,in-domain,1.6422954816,reliable-ADMET (docking pose-plausible hypothesis)
O=C1C2=Cc3ccccc3OCC2=NN1c1cccc(Cl)c1,-7.1,0.3079,0.8085,0.7494,in-domain,1.638255846,reliable-ADMET (docking pose-plausible hypothesis)
C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1cccc(C)c1,-6.81,0.2553,0.7471,0.9264,low (out-of-domain),1.6106325552,LOW (out-of-domain)
O=C(Nc1cccc(NC(=O)c2ccccc2Br)c1)c1ccccc1,-7.61,0.2154,0.6566,0.9823,in-domain,1.6101802662,reliable-ADMET (docking pose-plausible hypothesis)
COc1cc2c(Oc3ccc(NC(=O)c4cn(-c5ccc(F)c(F)c5)nn4)cc3F)ccnc2cc1OCCCN1CCCCC1,-6.63,0.2823,0.1639,0.851,in-domain,1.5927732989999999,reliable-ADMET (docking pose-plausible hypothesis)
