chembl_id,smiles,target_gene,population_target,source,activity_nM,mw,qed,sa_score,admet_score,best_similarity,generation_method,score_efficacy,score_selectivity,score_safety,score_resistance,score_novelty,score_synth,score_overall,rank,ppb_percent,fu,clearance_mL_min_kg,clearance_class,vd_L_kg,half_life_h,half_life_class,bioavailability_percent,bioavailability_class,est_dose_mg,dosing_frequency,pk_score
CHEMBL5218615,Nc1nc(Cl)cc(-c2nn(C(F)F)cc2Cc2ccccc2OCCN2CCS(=O)(=O)CC2)n1,EZH2,resistant,scout1,2.4,0.0,0.458,3.19,94.2,,database,86.5,99.8,94.2,86.5,70,75.7,90.0,36,60.3,0.3967,28.0,high,0.51,0.5,short,8.0,low,2.0,TID (three times daily),40
CHEMBL5218552,COC(=O)[C@@H]1COCCN1CCOc1ccccc1Cc1cn(C(F)F)nc1-c1cc(Cl)nc(N)n1,EZH2,resistant,scout1,2.2,0.0,0.334,3.64,91.7,,database,87.7,99.8,91.7,87.7,70,70.7,89.8,37,63.0,0.3698,30.3,high,0.56,0.5,short,8.0,low,2.0,TID (three times daily),40
CHEMBL195373,N#Cc1cnc(NC(=O)Nc2cc(Cl)ccc2OC2CCOC2)cn1,CHEK1,resistant,scout1,3.0,0.0,0.868,3.04,100.0,,database,83.3,99.7,100.0,83.3,70,77.3,89.8,38,58.2,0.4175,27.8,high,0.34,0.5,short,10.0,low,1.0,TID (three times daily),40
CHEMBL3895211,CO[C@H]1C[C@@H](n2c(=O)n(C)c3cnc4cc(F)c(-c5ccc(OCCCN6CCCC6)nc5)cc4c32)C1,ATM,resistant,scout1,0.418,0.0,0.333,2.97,86.7,,database,100.0,80.0,86.7,100.0,70,78.1,89.7,39,91.2,0.088,100.0,high,3.0,0.5,short,8.0,low,6.0,TID (three times daily),40
CHEMBL382667,COc1cc2c(Nc3cnc(NC(=O)c4ccc(F)c(Cl)c4)nc3)ncnc2cc1OCCCN1CCOCC1,AURKA,resistant,scout1,0.15,0.0,0.268,2.69,85.4,,database,100.0,80.0,85.4,100.0,70,81.2,89.6,40,85.0,0.1498,100.0,high,1.95,0.5,short,8.0,low,7.0,TID (three times daily),40
CHEMBL3890119,Cn1c(=O)n([C@H]2CCCOC2)c2c3cc(-c4ccc(OCCCN5CCCC5)nc4)c(F)cc3ncc21,ATM,resistant,scout1,0.563,0.0,0.349,3.37,87.0,,database,100.0,80.0,87.0,100.0,70,73.7,89.6,41,91.2,0.0879,100.0,high,3.01,0.5,short,8.0,low,6.0,TID (three times daily),40
CHEMBL4114060,Cn1c(=O)n([C@@H]2CCCOC2)c2c3cc(-c4ccc(OCCCN5CCCC5)nc4)c(F)cc3ncc21,ATM,resistant,scout1,0.69,0.0,0.349,3.37,87.0,,database,100.0,79.9,87.0,100.0,70,73.7,89.6,42,91.2,0.0879,100.0,high,3.01,0.5,short,8.0,low,6.0,TID (three times daily),40
CHEMBL202567,COc1cc2c(Nc3ncc(C(=O)Nc4ccc(F)cc4)s3)ncnc2cc1OCCCN1CCOCC1,AURKA,resistant,scout1,1.0,0.0,0.285,2.61,85.7,,database,99.0,79.9,85.7,99.0,70,82.1,89.3,43,86.8,0.1323,100.0,high,2.66,0.5,short,8.0,low,7.0,TID (three times daily),40
CHEMBL5219579,Nc1nc(Cl)cc(-c2nn(C(F)F)cc2Cc2ccccc2OCCN2CCO[C@@H](CO)C2)n1,EZH2,resistant,scout1,3.3,0.0,0.437,3.57,100.0,,database,81.9,99.7,100.0,81.9,70,71.4,88.8,44,60.4,0.3957,25.9,high,0.55,0.5,short,10.0,low,1.0,TID (three times daily),40
CHEMBL5219830,Nc1nc(Cl)cc(-c2nn(C(F)F)cc2Cc2ccccc2OCCN2CCOC[C@H]2CO)n1,EZH2,resistant,scout1,3.33,0.0,0.437,3.64,100.0,,database,81.8,99.7,100.0,81.8,70,70.7,88.7,45,60.4,0.3957,25.9,high,0.55,0.5,short,10.0,low,1.0,TID (three times daily),40
