chembl_id,name,smiles,target_gene,activity_type,activity_nM,mw_scout,logp_scout,lipinski_violations_scout,is_approved,is_clinical,n_net_targets,net_targets,population_target,est_emax_s,est_emax_r,mw_admet,logp_admet,hbd,hba,tpsa,rotatable_bonds,aromatic_rings,qed,sa_score,lipinski_violations_admet,veber_pass,pains_pass,pains_alerts,bbb_penetrant,gi_absorption,hepatotox_risk,admet_score,overall_pass
CHEMBL348326,CHEMBL348326,COC(=O)c1c(C)[nH]c2c1[C@@]13C[C@@H]1CN(C(=O)/C=C/c1ccc(OC)nn1)C3=CC2=O,MAP2K1,IC50,0.5,420.43,1.8,0,False,False,1,MAP2K1,sensitive,0.010753,0.001613,420.4,1.8,1,7,114.5,4,2,0.592,4.51,0,True,True,0,False,high,low,100.0,True
CHEMBL550972,CHEMBL550972,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(Cc5ccccc5)CC4)c3n2)cc1,MTOR,IC50,0.52,526.65,3.92,1,False,False,1,MTOR,escape_route,0.004284,0.006426,526.6,3.92,2,7,100.4,6,4,0.393,2.61,1,True,True,0,False,high,medium,87.9,True
CHEMBL4109764,CHEMBL4109764,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n([C@@H]2CCCOC2)c(=O)n4C)c(F)n1,ATM,IC50,0.552,479.56,3.77,0,False,False,1,ATM,resistant,0.002129,0.010645,479.6,3.77,0,6,74.4,7,4,0.297,3.42,0,True,True,0,False,high,medium,95.9,True
CHEMBL3890119,CHEMBL3890119,Cn1c(=O)n([C@H]2CCCOC2)c2c3cc(-c4ccc(OCCCN5CCCC5)nc4)c(F)cc3ncc21,ATM,IC50,0.563,505.59,4.31,1,False,False,1,ATM,resistant,0.002125,0.010624,505.6,4.31,0,6,74.4,7,4,0.349,3.37,1,True,True,0,False,high,medium,87.0,True
CHEMBL3960662,CHEMBL3960662,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n(C2CCOCC2)c(=O)n4C)cn1,ATM,IC50,0.575,461.57,3.63,0,False,False,1,ATM,resistant,0.00212,0.010601,461.6,3.63,0,6,74.4,7,4,0.391,2.8,0,True,True,0,False,high,medium,97.8,True
CHEMBL561907,CHEMBL561907,COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)NCCF)cc4)nc32)CC1,MTOR,IC50,0.61,526.57,2.82,1,False,False,1,MTOR,escape_route,0.004215,0.006322,526.6,2.82,2,8,126.7,6,3,0.502,2.83,1,True,True,0,False,high,low,95.0,True
CHEMBL4114060,CHEMBL4114060,Cn1c(=O)n([C@@H]2CCCOC2)c2c3cc(-c4ccc(OCCCN5CCCC5)nc4)c(F)cc3ncc21,ATM,IC50,0.69,505.59,4.31,1,False,False,1,ATM,resistant,0.002081,0.010403,505.6,4.31,0,6,74.4,7,4,0.349,3.37,1,True,True,0,False,high,medium,87.0,True
CHEMBL366456,CHEMBL366456,CCCCNCC(=O)[C@H](CC(=O)O)NC(=O)C(CC)n1cccc(NC(=O)c2ccc3ccccc3c2)c1=O,CD274,Ki,0.76,534.61,3.12,1,False,False,1,CD274,immune,0.005149,0.005149,534.6,3.12,4,6,146.6,14,3,0.232,3.37,1,False,True,0,False,medium,medium,69.6,True
CHEMBL111839,CHEMBL111839,CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)NC(C=O)CC(=O)O)C(C)C,CD274,IC50,0.76,492.53,-0.76,1,False,False,1,CD274,immune,0.005149,0.005149,492.5,-0.76,6,7,191.0,13,1,0.194,3.54,1,False,True,0,False,medium,low,73.9,True
CHEMBL3958682,CHEMBL3958682,CO[C@H]1C[C@@H](n2c(=O)n(C)c3cnc4ccc(-c5ccc(OCCCN(C)C)nc5F)cc4c32)C1,ATM,IC50,0.765,479.56,3.77,0,False,False,1,ATM,resistant,0.002058,0.010291,479.6,3.77,0,6,74.4,8,4,0.283,3.02,0,True,True,0,False,high,medium,95.7,True
