rank,chembl_id,name,smiles,target_gene,population_target,activity_type,activity_nM,qed,sa_score,pains_pass,hepatotox_risk,admet_score,est_emax_s,est_emax_r,score_efficacy,score_selectivity,score_safety,score_resistance,score_novelty,score_synthesizability,score_overall,novelty,target_in_trials
17,CHEMBL3986918,CHEMBL3986918,CN(C)CCCOc1ccc(-c2cc3c(cc2F)ncc2c3n(C3CCOCC3)c(=O)n2C)cn1,ATM,resistant,IC50,0.782,0.376,2.92,True,medium,97.5,0.002053,0.010267,82.1,87.9,97.5,100.0,100,78.7,90.1,TARGET_KNOWN,True
18,CHEMBL5218878,CHEMBL5218878,Nc1nc(Cl)cc(-c2nn(C(F)F)cc2Cc2ccccc2OCCN2CCNC(=O)C2)n1,EZH2,resistant,IC50,2.1,0.479,3.13,True,low,100.0,0.001839,0.009194,73.6,100.0,100.0,91.9,100,76.3,89.7,TARGET_KNOWN,True
19,CHEMBL3958682,CHEMBL3958682,CO[C@H]1C[C@@H](n2c(=O)n(C)c3cnc4ccc(-c5ccc(OCCCN(C)C)nc5F)cc4c32)C1,ATM,resistant,IC50,0.765,0.283,3.02,True,medium,95.7,0.002058,0.010291,82.3,87.9,95.7,100.0,100,77.6,89.7,TARGET_KNOWN,True
20,CHEMBL3898563,CHEMBL3898563,CO[C@H]1C[C@@H](n2c(=O)[nH]c3cnc4ccc(-c5ccc(OCCCN(C)C)nc5)cc4c32)C1,ATM,resistant,IC50,1.03,0.415,2.83,True,medium,98.3,0.001994,0.009968,79.7,87.9,98.3,99.7,100,79.7,89.5,TARGET_KNOWN,True
21,CHEMBL3895211,CHEMBL3895211,CO[C@H]1C[C@@H](n2c(=O)n(C)c3cnc4cc(F)c(-c5ccc(OCCCN6CCCC6)nc5)cc4c32)C1,ATM,resistant,IC50,0.418,0.333,2.97,True,medium,86.7,0.002189,0.010947,87.6,88.0,86.7,100.0,100,78.1,89.5,TARGET_KNOWN,True
22,CHEMBL4111966,CHEMBL4111966,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n([C@@H]2CCCOC2)c(=O)n4C)cn1,ATM,resistant,IC50,0.935,0.391,3.27,True,medium,97.8,0.002015,0.010073,80.6,87.9,97.8,100.0,100,74.8,89.5,TARGET_KNOWN,True
23,CHEMBL3984179,CHEMBL3984179,Cn1c(=O)n([C@H]2C[C@@H](O)C2)c2c3cc(-c4ccc(OCCCN5CCC5)nc4)ccc3ncc21,ATM,resistant,IC50,1.05,0.428,2.8,True,medium,98.6,0.001989,0.009947,79.6,87.9,98.6,99.5,100,80.0,89.5,TARGET_KNOWN,True
24,CHEMBL201297,CHEMBL201297,COCCOc1cc2ncnc(Nc3ncc(CC(=O)Nc4cccc(F)c4)s3)c2cc1OC,AURKA,resistant,IC50,1.0,0.324,2.54,True,medium,96.5,0.002,0.01,80.0,87.9,96.5,100.0,100,82.9,89.4,TARGET_KNOWN,True
25,CHEMBL3961688,CHEMBL3961688,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n(C2(C)CCOCC2)c(=O)n4C)cn1,ATM,resistant,IC50,0.96,0.379,3.1,True,medium,97.6,0.002009,0.010044,80.4,87.9,97.6,100.0,100,76.7,89.4,TARGET_KNOWN,True
26,CHEMBL4110596,CHEMBL4110596,CN(C)CCCOc1ccc(-c2cc3c(cc2F)ncc2c3n([C@@H]3CCCOC3)c(=O)n2C)cn1,ATM,resistant,IC50,1.0,0.376,3.39,True,medium,97.5,0.002,0.01,80.0,87.9,97.5,100.0,100,73.4,89.2,TARGET_KNOWN,True
27,CHEMBL3950905,CHEMBL3950905,CO[C@H]1C[C@@H](n2c(=O)n(C)c3cnc4cc(F)c(-c5ccc(OCCCN(C)C)nc5)cc4c32)C1,ATM,resistant,IC50,1.05,0.358,2.99,True,medium,97.2,0.001989,0.009947,79.6,87.9,97.2,99.5,100,77.9,89.1,TARGET_KNOWN,True
28,CHEMBL3963290,CHEMBL3963290,Cn1c(=O)n(C2CCOCC2)c2c3cc(-c4ccc(OCCCN5CCCC5)nc4)ccc3ncc21,ATM,resistant,IC50,1.12,0.365,2.79,True,medium,97.3,0.001975,0.009877,79.0,87.9,97.3,98.8,100,80.1,89.0,TARGET_KNOWN,True
29,CHEMBL131891,CHEMBL131891,NC(=O)c1cccc2[nH]c(-c3ccc(Cl)cc3)nc12,PARP1,resistant,Ki,3.0,0.752,1.94,True,low,100.0,0.001761,0.008807,70.5,100.0,100.0,88.1,100,89.6,88.8,TARGET_KNOWN,True
30,CHEMBL3890119,CHEMBL3890119,Cn1c(=O)n([C@H]2CCCOC2)c2c3cc(-c4ccc(OCCCN5CCCC5)nc4)c(F)cc3ncc21,ATM,resistant,IC50,0.563,0.349,3.37,True,medium,87.0,0.002125,0.010624,85.0,88.0,87.0,100.0,100,73.7,88.6,TARGET_KNOWN,True
31,CHEMBL3912673,CHEMBL3912673,CN(C)CCCOc1ccc(-c2cc3c(cc2F)ncc2c3n([C@H]3CCCOC3)c(=O)n2C)cn1,ATM,resistant,IC50,1.14,0.376,3.39,True,medium,97.5,0.001972,0.009858,78.9,87.9,97.5,98.6,100,73.4,88.6,TARGET_KNOWN,True
32,CHEMBL195373,CHEMBL195373,N#Cc1cnc(NC(=O)Nc2cc(Cl)ccc2OC2CCOC2)cn1,CHEK1,resistant,IC50,3.0,0.868,3.04,True,low,100.0,0.001761,0.008807,70.5,100.0,100.0,88.1,100,77.3,88.2,TARGET_KNOWN,True
33,CHEMBL4114060,CHEMBL4114060,Cn1c(=O)n([C@@H]2CCCOC2)c2c3cc(-c4ccc(OCCCN5CCCC5)nc4)c(F)cc3ncc21,ATM,resistant,IC50,0.69,0.349,3.37,True,medium,87.0,0.002081,0.010403,83.2,87.9,87.0,100.0,100,73.7,88.0,TARGET_KNOWN,True
34,CHEMBL5218615,CHEMBL5218615,Nc1nc(Cl)cc(-c2nn(C(F)F)cc2Cc2ccccc2OCCN2CCS(=O)(=O)CC2)n1,EZH2,resistant,IC50,2.4,0.458,3.19,True,low,94.2,0.00181,0.009049,72.4,100.0,94.2,90.5,100,75.7,87.9,TARGET_KNOWN,True
35,CHEMBL558486,CHEMBL558486,CCNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)OC)CC4)c3n2)cc1,MTOR,escape_route,IC50,0.32,0.539,2.7,True,low,95.8,0.004495,0.006742,74.9,100.0,95.8,80.9,100,81.1,87.8,TARGET_KNOWN,True
36,CHEMBL5219579,CHEMBL5219579,Nc1nc(Cl)cc(-c2nn(C(F)F)cc2Cc2ccccc2OCCN2CCO[C@@H](CO)C2)n1,EZH2,resistant,IC50,3.3,0.437,3.57,True,low,100.0,0.001741,0.008704,69.6,100.0,100.0,87.0,100,71.4,87.5,TARGET_KNOWN,True
37,CHEMBL5218552,CHEMBL5218552,COC(=O)[C@@H]1COCCN1CCOc1ccccc1Cc1cn(C(F)F)nc1-c1cc(Cl)nc(N)n1,EZH2,resistant,IC50,2.2,0.334,3.64,True,low,91.7,0.001829,0.009144,73.2,100.0,91.7,91.4,100,70.7,87.5,TARGET_KNOWN,True
38,CHEMBL5219830,CHEMBL5219830,Nc1nc(Cl)cc(-c2nn(C(F)F)cc2Cc2ccccc2OCCN2CCOC[C@H]2CO)n1,EZH2,resistant,IC50,3.33,0.437,3.64,True,low,100.0,0.001739,0.008694,69.6,100.0,100.0,86.9,100,70.7,87.4,TARGET_KNOWN,True
39,CHEMBL563985,CHEMBL563985,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)OC)CC4)c3n2)cc1,MTOR,escape_route,IC50,0.46,0.567,2.7,True,low,100.0,0.004337,0.006506,72.3,100.0,100.0,78.1,100,81.1,87.4,TARGET_KNOWN,True
40,CHEMBL3957991,CHEMBL3957991,CN(C)CCCOc1ccc(-c2cc3c(cc2F)ncc2c3n(C3COC3)c(=O)n2C)cn1,ATM,resistant,IC50,3.8,0.402,2.96,True,low,100.0,0.00171,0.008551,68.4,100.0,100.0,85.5,100,78.2,87.3,TARGET_KNOWN,True
41,CHEMBL202567,CHEMBL202567,COc1cc2c(Nc3ncc(C(=O)Nc4ccc(F)cc4)s3)ncnc2cc1OCCCN1CCOCC1,AURKA,resistant,IC50,1.0,0.285,2.61,True,medium,85.7,0.002,0.01,80.0,87.9,85.7,100.0,100,82.1,87.2,TARGET_KNOWN,True
42,CHEMBL426811,CHEMBL426811,N#Cc1cnc(NC(=O)Nc2cc(Cl)ccc2OC2CCOCC2)cn1,CHEK1,resistant,IC50,5.0,0.851,2.58,True,low,100.0,0.001651,0.008253,66.0,100.0,100.0,82.5,100,82.4,86.3,TARGET_KNOWN,True
43,CHEMBL3951966,CHEMBL3951966,CN(C)CCCOc1ccc(-c2cc3c(cc2F)ncc2c3n(C3(C)CCOCC3)c(=O)n2C)cn1,ATM,resistant,IC50,2.03,0.363,3.22,True,medium,97.3,0.001846,0.009231,73.8,87.8,97.3,92.3,100,75.3,86.2,TARGET_KNOWN,True
44,CHEMBL5220647,CHEMBL5220647,Nc1nc(Cl)cc(-c2nn(C(F)F)cc2Cc2ccccc2OCCN2CCOC[C@@H]2CO)n1,EZH2,resistant,IC50,4.6,0.437,3.64,True,low,100.0,0.001669,0.008343,66.7,100.0,100.0,83.4,100,70.7,86.1,TARGET_KNOWN,True
45,CHEMBL155514,CHEMBL155514,CCCCCC[Se](=O)CC(=O)C(F)(F)F,FOLH1,other,IC50,0.1778,0.533,3.91,True,low,100.0,0.005938,0.005938,79.2,100.0,100.0,59.4,100,67.7,86.0,TARGET_KNOWN,True
46,CHEMBL313153,CHEMBL313153,O=C(O)c1c(Cc2cc3c(cc2Cl)OCO3)c(-c2cccs2)nn1CC1CCCCC1,CHEK2,resistant,IC50,1.7,0.5,2.82,True,medium,90.0,0.001885,0.009424,75.4,87.9,90.0,94.2,100,79.8,85.7,TARGET_KNOWN,True
47,CHEMBL561907,CHEMBL561907,COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)NCCF)cc4)nc32)CC1,MTOR,escape_route,IC50,0.61,0.502,2.83,True,low,95.0,0.004215,0.006322,70.2,99.9,95.0,75.9,100,79.7,85.4,TARGET_KNOWN,True
48,CHEMBL5219443,CHEMBL5219443,Nc1nc(Cl)cc(-c2nn(C(F)F)cc2Cc2ccccc2OCCN2CCO[C@H](CO)C2)n1,EZH2,resistant,IC50,5.5,0.437,3.57,True,low,100.0,0.00163,0.008149,65.2,100.0,100.0,81.5,100,71.4,85.4,TARGET_KNOWN,True
49,CHEMBL385872,CHEMBL385872,CN1CCN(c2ccc(C(=O)Nc3n[nH]c4c3CN(C(=O)[C@H](O)c3ccccc3)C4)cc2)CC1,AURKA,resistant,IC50,6.0,0.538,2.99,True,low,100.0,0.001611,0.008055,64.4,100.0,100.0,80.5,100,77.9,85.3,TARGET_KNOWN,True
50,CHEMBL207994,CHEMBL207994,COc1cc(OC)c(NC(=O)Nc2cnc(C#N)cn2)cc1Cl,CHEK1,resistant,IC50,7.0,0.89,2.37,True,low,100.0,0.001577,0.007887,63.1,100.0,100.0,78.9,100,84.8,85.0,TARGET_KNOWN,True
51,CHEMBL202930,CHEMBL202930,COc1cc(-c2ccc3c(c2)NC(=O)/C3=C\c2ccc[nH]2)ccc1O,CHEK1,resistant,IC50,7.0,0.637,2.5,True,low,100.0,0.001577,0.007887,63.1,100.0,100.0,78.9,100,83.3,84.9,,
52,CHEMBL192161,CHEMBL192161,CC1(COc2ccc(Cl)cc2NC(=O)Nc2cnc(C#N)cn2)COC1,CHEK1,resistant,IC50,7.0,0.833,2.74,True,low,100.0,0.001577,0.007887,63.1,100.0,100.0,78.9,100,80.7,84.8,,
53,CHEMBL3898577,CHEMBL3898577,CO[C@H]1C[C@@H](n2c(=O)n(C)c3cnc4cc(F)c(-c5ccc(OCCCN(C)C)nc5F)cc4c32)C1,ATM,resistant,IC50,2.62,0.272,3.14,True,medium,95.4,0.001791,0.008954,71.6,87.8,95.4,89.5,100,76.2,84.8,,
54,CHEMBL3907190,CHEMBL3907190,CN(C)CCCOc1ccc(-c2ccc3ncc4[nH]c(=O)n(C5CCOCC5)c4c3c2)cn1,ATM,resistant,IC50,3.22,0.436,2.77,True,medium,98.7,0.001746,0.00873,69.8,87.7,98.7,87.3,100,80.3,84.7,,
55,CHEMBL133855,CHEMBL133855,CCOC(=O)c1ccc(-c2nc3c(C(N)=O)cccc3[nH]2)cc1,PARP1,resistant,Ki,8.1,0.723,2.0,True,low,100.0,0.001546,0.007729,61.8,100.0,100.0,77.3,100,88.9,84.6,,
56,CHEMBL423573,CHEMBL423573,O=C1NCCc2c(-c3ccccc3Cl)[nH]c3cccc1c23,PARP1,resistant,Ki,8.0,0.705,2.36,True,low,100.0,0.001548,0.007742,61.9,100.0,100.0,77.4,100,84.9,84.4,,
57,CHEMBL344741,CHEMBL344741,O=C1NCCc2c(-c3ccc[nH]3)[nH]c3cccc1c23,PARP1,resistant,Ki,8.0,0.611,2.83,True,low,100.0,0.001548,0.007742,61.9,100.0,100.0,77.4,100,79.7,84.2,,
58,CHEMBL5218698,CHEMBL5218698,Nc1nc(Cl)cc(-c2nn(C(F)F)cc2Cc2ccccc2OCCN2CCOCC2)n1,EZH2,resistant,IC50,3.9,0.511,2.97,True,medium,100.0,0.001704,0.008522,68.2,87.7,100.0,85.2,100,78.1,84.1,,
59,CHEMBL425904,CHEMBL425904,CC(CN(C)C)Oc1ccc(Cl)cc1NC(=O)Nc1cnc(C#N)cn1,CHEK1,resistant,IC50,8.0,0.805,3.03,True,low,100.0,0.001548,0.007742,61.9,100.0,100.0,77.4,100,77.4,84.1,,
60,CHEMBL323488,CHEMBL323488,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc2ccccc2c1,PARP1,resistant,IC50,8.5,0.59,2.66,True,low,100.0,0.001535,0.007676,61.4,100.0,100.0,76.8,100,81.6,84.0,,
61,CHEMBL5220895,CHEMBL5220895,Cn1cc(Cc2ccccc2OCCN2CC3CC(C2)O3)c(-c2cc(Cl)nc(N)n2)n1,EZH2,resistant,IC50,6.7,0.564,4.44,True,low,100.0,0.001587,0.007935,63.5,100.0,100.0,79.3,100,61.8,84.0,,
62,CHEMBL372543,CHEMBL372543,O/N=C1/CCc2cc(-c3[nH]c(-c4ccccc4)nc3-c3ccncc3)ccc21,BRAF,escape_route,Kd,1.3,0.399,2.53,True,low,100.0,0.003886,0.005829,64.8,99.9,100.0,69.9,100,83.0,84.0,,
63,CHEMBL87070,CHEMBL87070,O=C(O)c1c(Cc2cc3c(cc2Cl)OCO3)c(-c2ccccc2)nn1CC1CCCCC1,CHEK2,resistant,IC50,2.6,0.511,2.61,True,medium,90.2,0.001793,0.008963,71.7,87.8,90.2,89.6,100,82.1,84.0,,
64,CHEMBL5220347,CHEMBL5220347,Cn1cc(Cc2ccccc2OCCN2CC3(COC3)C2)c(-c2cc(Cl)nc(N)n2)n1,EZH2,resistant,IC50,7.8,0.564,3.47,True,low,100.0,0.001554,0.00777,62.2,100.0,100.0,77.7,100,72.6,83.9,,
65,CHEMBL383264,CHEMBL383264,N[C@H](COc1cncc(-c2ccc3cnccc3c2)c1)Cc1c[nH]c2ccccc12,AKT1,escape_route,IC50,1.3,0.437,2.88,True,low,100.0,0.003886,0.005829,64.8,99.9,100.0,69.9,100,79.1,83.8,,
66,CHEMBL5218702,CHEMBL5218702,CC1(O)CCN(CCOc2ccccc2Cc2cn(C(F)F)nc2-c2cc(Cl)nc(N)n2)CC1,EZH2,resistant,IC50,4.0,0.461,3.18,True,medium,99.2,0.001699,0.008495,68.0,87.6,99.2,85.0,100,75.8,83.7,,
67,CHEMBL551442,CHEMBL551442,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCNCC4)c3n2)cc1,MTOR,escape_route,IC50,1.4,0.574,2.67,True,low,100.0,0.003854,0.005781,64.2,99.9,100.0,69.4,100,81.4,83.7,,
68,CHEMBL562439,CHEMBL562439,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)N(C)C)CC4)c3n2)cc1,MTOR,escape_route,IC50,1.1,0.556,2.78,True,low,96.1,0.003959,0.005938,66.0,99.9,96.1,71.3,100,80.2,83.7,,
69,CHEMBL205449,CHEMBL205449,COc1cc(CN2CCCCC2)ccc1NC(=O)Nc1cnc(C#N)cn1,CHEK1,resistant,IC50,10.0,0.843,2.33,True,low,100.0,0.0015,0.0075,60.0,100.0,100.0,75.0,100,85.2,83.5,,
70,CHEMBL385266,CHEMBL385266,CN1CCN(c2ccc(C(=O)Nc3n[nH]c4c3CN(C(=O)[C@H](F)c3ccccc3)C4)cc2)CC1,AURKA,resistant,IC50,9.0,0.609,3.1,True,low,100.0,0.001523,0.007614,60.9,100.0,100.0,76.1,100,76.7,83.5,,
71,CHEMBL193117,CHEMBL193117,CN1CCC(Oc2ccc(Cl)cc2NC(=O)Nc2cnc(C#N)cn2)CC1,CHEK1,resistant,IC50,10.0,0.836,2.56,True,low,100.0,0.0015,0.0075,60.0,100.0,100.0,75.0,100,82.7,83.4,,
72,CHEMBL477989,SB590885,CN(C)CCOc1ccc(-c2nc(-c3ccncc3)c(-c3ccc4c(c3)CC/C4=N\O)[nH]2)cc1,BRAF,escape_route,Kd,0.3,0.308,2.72,True,medium,96.2,0.004523,0.006784,75.4,80.0,96.2,81.4,100,80.9,83.1,,
73,CHEMBL192928,CHEMBL192928,CC(C)(C)c1ccc(C(=O)Nc2[nH]nc3c2CN(C(=O)Cc2ccsc2)C3)cc1,AURKA,resistant,IC50,5.0,0.682,2.81,True,medium,100.0,0.001651,0.008253,66.0,87.6,100.0,82.5,100,79.9,83.1,,
74,CHEMBL313044,CHEMBL313044,O=C(O)c1c(Cc2cc3c(cc2Cl)OCO3)c(-c2ccsc2)nn1CC1CCCCC1,CHEK2,resistant,IC50,3.2,0.5,2.86,True,medium,90.0,0.001747,0.008737,69.9,87.7,90.0,87.4,100,79.3,83.0,,
75,CHEMBL314454,CHEMBL314454,O=C(O)c1c(Cc2cc3c(cc2Cl)OCO3)c(-c2ccccn2)nn1CC1CCCCC1,CHEK2,resistant,IC50,3.4,0.552,2.78,True,medium,91.0,0.001734,0.008671,69.4,87.7,91.0,86.7,100,80.2,83.0,,
76,CHEMBL384304,CHEMBL384304,COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CCN(S(C)(=O)=O)CC2)nc1N,ATR,resistant,Kd,11.0,0.644,2.66,True,low,100.0,0.001479,0.007397,59.2,100.0,100.0,74.0,100,81.6,82.9,,
77,CHEMBL384304,CHEMBL384304,COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CCN(S(C)(=O)=O)CC2)nc1N,ATR,resistant,Kd,11.0,0.644,2.66,True,low,100.0,0.001479,0.007397,59.2,100.0,100.0,74.0,100,81.6,82.9,,
78,CHEMBL538378,CHEMBL538378,COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)Nc5cccnc5)cc4)nc32)CC1,MTOR,escape_route,IC50,0.2,0.375,2.78,True,medium,87.5,0.004699,0.007048,78.3,80.0,87.5,84.6,100,80.2,82.7,,
79,CHEMBL381724,CHEMBL381724,COc1cc2c(Nc3cnc(NC(=O)c4ccccc4)nc3)ncnc2cc1OCCCN1CCOCC1,AURKA,resistant,IC50,3.0,0.303,2.55,True,medium,86.1,0.001761,0.008807,70.5,87.7,86.1,88.1,100,82.8,82.6,,
80,CHEMBL558288,CHEMBL558288,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)NC)CC4)c3n2)cc1,MTOR,escape_route,IC50,2.0,0.507,2.75,True,low,100.0,0.003699,0.005548,61.6,99.8,100.0,66.6,100,80.6,82.5,,
81,CHEMBL108919,CHEMBL108919,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(N2CCCC2)cc1,PARP1,resistant,IC50,12.0,0.627,2.7,True,low,100.0,0.00146,0.007302,58.4,100.0,100.0,73.0,100,81.1,82.5,,
82,CHEMBL107764,CHEMBL107764,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(-c2cccnc2)cc1,PARP1,resistant,IC50,12.0,0.531,2.71,True,low,100.0,0.00146,0.007302,58.4,100.0,100.0,73.0,100,81.0,82.5,,
83,CHEMBL207778,CHEMBL207778,COc1cc(CN2CCCC2)ccc1NC(=O)Nc1cnc(C#N)cn1,CHEK1,resistant,IC50,13.0,0.857,2.32,True,low,100.0,0.001443,0.007215,57.7,100.0,100.0,72.2,100,85.3,82.4,,
84,CHEMBL5220723,CHEMBL5220723,Cn1cc(Cc2ccccc2OCCN2CCOCC2)c(-c2cc(Cl)nc(N)n2)n1,EZH2,resistant,IC50,12.3,0.578,2.74,True,low,100.0,0.001455,0.007275,58.2,100.0,100.0,72.8,100,80.7,82.4,,
85,CHEMBL315280,CHEMBL315280,O=C(O)COc1ccccc1Cn1nc(-c2ccccc2)c(Cc2cc3c(cc2Cl)OCO3)c1C(=O)O,CHEK2,resistant,IC50,3.3,0.325,2.65,True,medium,86.5,0.001741,0.008704,69.6,87.7,86.5,87.0,100,81.7,82.3,,
86,CHEMBL562365,CHEMBL562365,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(C)=O)CC4)c3n2)cc1,MTOR,escape_route,IC50,2.1,0.591,2.66,True,low,100.0,0.003678,0.005517,61.3,99.8,100.0,66.2,100,81.6,82.3,,
87,CHEMBL314973,CHEMBL314973,O=C(O)COC1CCCCC1Cn1nc(-c2ccccc2)c(Cc2cc3c(cc2Cl)OCO3)c1C(=O)O,CHEK2,resistant,IC50,3.2,0.405,3.61,True,medium,88.1,0.001747,0.008737,69.9,87.7,88.1,87.4,100,71.0,82.2,,
88,CHEMBL222102,KU-55933,O=c1cc(-c2cccc3c2Sc2ccccc2S3)oc(N2CCOCC2)c1,ATM,resistant,IC50,13.0,0.488,2.93,True,low,100.0,0.001443,0.007215,57.7,100.0,100.0,72.2,100,78.6,82.1,,
