gene,n_diseases,max_score
CALR,47,0.07596288939747664
CSF1,47,0.06481106617101388
ERN1,47,0.10324879331058175
YY1AP1,47,0.09631363881133906
SLC2A1,47,0.2991351965110286
TFF2,47,0.08511868961816925
PIK3C2A,47,0.03632164379188298
ITGAE,47,0.09796265177710074
PRRT2,47,0.08582354142908404
TBK1,47,0.0965774534555962
TBX21,47,0.09570998502712
CYP3A4,47,0.6040165877214425
KLRB1,47,0.07948305026408495
IL17F,46,0.0789395899315687
EIF2AK2,46,0.5118490068775616
VTN,46,0.05175840935382576
APOB,46,0.3330224064047951
NFKB2,46,0.07668142888899425
CD59,46,0.05061139349973444
CYRIB,46,0.09706243279431627
CISH,46,0.07878502058941518
P4HB,46,0.04911776323253598
STAT4,46,0.2813701058482477
KRT88P,46,0.10493744216774084
CD55,46,0.10085897289152508
CTSS,46,0.09933036960855883
IL21R,46,0.26641792512383605
CD47,46,0.10398197957230809
SIGLEC1,46,0.11322735122559432
TGFB3,46,0.03692108412341162
PCNA,45,0.10545359426314337
IFNL3,45,0.08980586709555449
CD5,45,0.08961319463038366
PLG,45,0.35654961730042795
BRD4,45,0.09758416923680283
NRP1,45,0.18937196754654995
MOG,45,0.03799837108935699
HDAC9,45,0.245292801114654
CXCR5,45,0.1026631087303783
A4GALT,45,0.04804443111250484
CDKN2A,45,0.06314313466109614
YAP1,45,0.10369922970054722
PLAUR,45,0.05395703033549691
MMP3,45,0.1030416550681503
ARHGEF2,45,0.09707344372643512
CYLD,45,0.05887836145236777
IL3,45,0.09046242727685261
FUT1,45,0.08454231187492846
CCL18,45,0.06775696517691834
TRIM69,45,0.06820881900021357
IL6ST,45,0.6581812541673234
TCN2,44,0.07312103083838618
TYK2,44,0.14800995840213113
FGF2,44,0.07724461452336176
TGFB2,44,0.04025882500892861
EEF1A1,44,0.06647061080710613
REL,44,0.08052326787550397
NSG1,44,0.07720866495114549
EDNRA,44,0.20038896023637914
TRAF6,44,0.07456001654507358
ATF3,44,0.09547405487458673
IGHA1,44,0.06034736028950892
CXCL5,44,0.08350014461441704
IRF8,44,0.1043850479716296
IL2RB,44,0.3720768158336141
CCL11,44,0.07716345126354922
GZMA,44,0.0888901559972096
GAL,44,0.09926768643279689
EREG,44,0.04803663199941166
TXN,44,0.08562119295442575
BCL6,44,0.07041614884858724
KLHL2,44,0.10663931645504765
RNF130,44,0.2065280920135328
CXCR6,43,0.08018698175407177
REG1A,43,0.056771283756584155
CYCS,43,0.03897381954756201
MARK2,43,0.060974296425027164
EBNA1BP2,43,0.0935960177098557
TRIM21,43,0.08899467592526507
ANXA1,43,0.08869100353180338
P2RX7,43,0.10744296259706429
IL10RA,43,0.09962567786371378
CLOCK,43,0.05011781647005496
CCR1,43,0.08305858647656038
CCR4,43,0.5411035660765073
PIGR,43,0.0760195591904279
RBM45,43,0.0837743697294021
APCS,43,0.19808570441252765
STAT5B,43,0.04359633324734773
RAC1,43,0.37227060992735667
RELB,43,0.37002489600532784
PML,43,0.4763894122874977
SOD2,43,0.07558497292112751
IFNAR2,43,0.6056229341179445
IRF4,43,0.08881701605582062
PDCD1LG2,43,0.08525888771007133
EDN1,43,0.08608692270037321
MMP7,43,0.56031682016352
PLAU,43,0.05514669376621872
GC,43,0.08735508678746458
ADM,43,0.06412533021417963
GATA3,43,0.07635502966338976
SERPINB6,43,0.0949319838104731
OCA2,43,0.11840796672170491
RORC,43,0.0669482446878173
AGTR1,43,0.4699865502189796
EPB42,43,0.05151432831986042
CBLIF,42,0.04475203271089391
IL25,42,0.09692421101239021
AMY2A,42,0.05118940962681839
AQP4,42,0.07823179687527312
OCLN,42,0.7971064580815753
LPA,42,0.10244106532018471
TJP1,42,0.23664131711209185
PCLAF,42,0.03767593491126249
RNASEL,42,0.1065032314496942
ATP5MK,42,0.09675819447510307
TNFRSF11B,42,0.10301666652996111
IKBKB,42,0.08568858496892696
FCN2,42,0.08517431427764724
VPREB1,42,0.10590316049239867
HAVCR1,42,0.09916726315151222
KRAS,42,0.09916288014746866
IL2RG,42,0.3725542795767979
CTBS,42,0.08187499126037527
ADIPOQ,42,0.1109859289821683
IVNS1ABP,42,0.11673188692491454
SERPINB2,42,0.05098943066953418
THBD,42,0.09587190535080635
EIF2AK3,42,0.08307168435789901
CD2,42,0.0935031174048802
PCYT1B,42,0.08187499126037527
ITGA2B,41,0.09305804961950004
MAPT,41,0.10206621761478314
WDR26,41,0.037059477416997784
COX5A,41,0.18661837196792955
PECAM1,41,0.04405927582891172
TCEAL1,41,0.07721072941525191
SLC11A1,41,0.11178309607831881
PLA2G2A,41,0.0938032589745343
PIEZO1,41,0.08832127750805818
LANCL1,41,0.09343308708161135
ADAM17,41,0.37002489600532784
CLEC7A,41,0.11601924777625451
MEFV,41,0.05479143647598893
B3GAT1,41,0.05772996670060904
RNASE3,41,0.05580536660533294
BCL2L11,41,0.31950546453899675
NELFCD,41,0.594143142785321
