chembl_id,smiles,target_gene,population_target,source,activity_nM,mw,qed,sa_score,admet_score,best_similarity,generation_method,score_efficacy,score_selectivity,score_safety,score_resistance,score_novelty,score_synth,score_overall,rank
CHEMBL5219830,Nc1nc(Cl)cc(-c2nn(C(F)F)cc2Cc2ccccc2OCCN2CCOC[C@H]2CO)n1,EZH2,resistant,scout1,3.33,0.0,0.437,3.64,100.0,,database,81.8,99.7,100.0,81.8,70,70.7,88.7,45
CHEMBL558288,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)NC)CC4)c3n2)cc1,MTOR,escape_route,scout1,2.0,0.0,0.507,2.75,100.0,,database,89.1,99.8,100.0,62.3,70,80.6,88.5,46
CHEMBL562365,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(C)=O)CC4)c3n2)cc1,MTOR,escape_route,scout1,2.1,0.0,0.591,2.66,100.0,,database,88.4,99.8,100.0,61.9,70,81.6,88.3,47
CHEMBL3957991,CN(C)CCCOc1ccc(-c2cc3c(cc2F)ncc2c3n(C3COC3)c(=O)n2C)cn1,ATM,resistant,scout1,3.8,0.0,0.402,2.96,100.0,,database,79.9,99.6,100.0,79.9,70,78.2,88.3,48
,CCNC(=O)Nc1ccsc1.COC(=O)N1CCC(n2ncc3c(N4CCOCC4)ncnc32)CC1,MTOR,escape_route,scout2,0.4,516.6,0.542,4.5,70.0,0.451,bioisostere,100.0,100.0,70.0,70.0,100,61.1,87.5,49
,CCNC(=O)Nc1ccncc1.COC(=O)N1CCC(n2ncc3c(N4CCOCC4)ncnc32)CC1,MTOR,escape_route,scout2,0.4,511.6,0.54,4.6,70.0,0.449,bioisostere,100.0,100.0,70.0,70.0,100,60.0,87.5,50
,CCNC(=O)Nc1ccoc1.COC(=O)N1CCC(n2ncc3c(N4CCOCC4)ncnc32)CC1,MTOR,escape_route,scout2,0.4,500.6,0.553,4.5,70.0,0.477,bioisostere,100.0,100.0,70.0,70.0,100,61.1,87.5,51
CHEMBL541643,Cl.Oc1cccc(-c2nc(N3CCOCC3)c3sccc3n2)c1,PIK3CA,escape_route,scout1,2.5,0.0,0.769,2.44,100.0,,database,85.9,99.8,100.0,60.1,70,84.0,87.4,52
CHEMBL541643,Cl.Oc1cccc(-c2nc(N3CCOCC3)c3sccc3n2)c1,PIK3CA,escape_route,scout1,2.5,0.0,0.769,2.44,100.0,,database,85.9,99.8,100.0,60.1,70,84.0,87.4,53
CHEMBL477989,CN(C)CCOc1ccc(-c2nc(-c3ccncc3)c(-c3ccc4c(c3)CC/C4=N\O)[nH]2)cc1,BRAF,escape_route,scout1,0.3,0.0,0.308,2.72,96.2,,database,100.0,80.0,96.2,70.0,70,80.9,87.3,54
CHEMBL426811,N#Cc1cnc(NC(=O)Nc2cc(Cl)ccc2OC2CCOCC2)cn1,CHEK1,resistant,scout1,5.0,0.0,0.851,2.58,100.0,,database,75.9,99.5,100.0,75.9,70,82.4,86.7,55
CHEMBL3951966,CN(C)CCCOc1ccc(-c2cc3c(cc2F)ncc2c3n(C3(C)CCOCC3)c(=O)n2C)cn1,ATM,resistant,scout1,2.03,0.0,0.363,3.22,97.3,,database,88.9,79.8,97.3,88.9,70,75.3,86.7,56
CHEMBL5220647,Nc1nc(Cl)cc(-c2nn(C(F)F)cc2Cc2ccccc2OCCN2CCOC[C@@H]2CO)n1,EZH2,resistant,scout1,4.6,0.0,0.437,3.64,100.0,,database,77.1,99.5,100.0,77.1,70,70.7,86.6,57
CHEMBL313153,O=C(O)c1c(Cc2cc3c(cc2Cl)OCO3)c(-c2cccs2)nn1CC1CCCCC1,CHEK2,resistant,scout1,1.7,0.0,0.5,2.82,90.0,,database,91.4,79.9,90.0,91.4,70,79.8,86.6,58
CHEMBL155514,CCCCCC[Se](=O)CC(=O)C(F)(F)F,FOLH1,other,scout1,0.1778,0.0,0.533,3.91,100.0,,database,100.0,100.0,100.0,30.0,70,67.7,86.4,59
CHEMBL538346,Cl.Oc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,PIK3CB,escape_route,scout1,3.0,0.0,0.567,2.67,100.0,,database,83.3,99.7,100.0,58.3,70,81.4,86.2,60
CHEMBL538346,Cl.Oc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,PIK3CB,escape_route,scout1,3.0,0.0,0.567,2.67,100.0,,database,83.3,99.7,100.0,58.3,70,81.4,86.2,61
CHEMBL562999,COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)NC5CC5)cc4)nc32)CC1,MTOR,escape_route,scout1,0.45,0.0,0.526,2.72,90.5,,database,100.0,80.0,90.5,70.0,70,80.9,86.1,62
CHEMBL348326,COC(=O)c1c(C)[nH]c2c1[C@@]13C[C@@H]1CN(C(=O)/C=C/c1ccc(OC)nn1)C3=CC2=O,MAP2K1,sensitive,scout1,0.5,0.0,0.592,4.51,100.0,,database,100.0,100.0,100.0,30.0,70,61.0,86.0,63
CHEMBL550972,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(Cc5ccccc5)CC4)c3n2)cc1,MTOR,escape_route,scout1,0.52,0.0,0.393,2.61,87.9,,database,100.0,80.0,87.9,70.0,70,82.1,85.7,64
CHEMBL551440,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(Cc5cccnc5)CC4)c3n2)cc1,MTOR,escape_route,scout1,0.38,0.0,0.393,2.72,87.9,,database,100.0,80.0,87.9,70.0,70,80.9,85.6,65
CHEMBL551440,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(Cc5cccnc5)CC4)c3n2)cc1,MTOR,escape_route,scout1,0.38,0.0,0.393,2.72,87.9,,database,100.0,80.0,87.9,70.0,70,80.9,85.6,66
CHEMBL557963,COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)Nc5ccncc5)cc4)nc32)CC1,MTOR,escape_route,scout1,0.3,0.0,0.375,2.79,87.5,,database,100.0,80.0,87.5,70.0,70,80.1,85.5,67
CHEMBL5219443,Nc1nc(Cl)cc(-c2nn(C(F)F)cc2Cc2ccccc2OCCN2CCO[C@H](CO)C2)n1,EZH2,resistant,scout1,5.5,0.0,0.437,3.57,100.0,,database,74.6,99.5,100.0,74.6,70,71.4,85.5,68
CHEMBL538378,COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)Nc5cccnc5)cc4)nc32)CC1,MTOR,escape_route,scout1,0.2,0.0,0.375,2.78,87.5,,database,100.0,80.0,87.5,70.0,70,80.2,85.5,69
CHEMBL385872,CN1CCN(c2ccc(C(=O)Nc3n[nH]c4c3CN(C(=O)[C@H](O)c3ccccc3)C4)cc2)CC1,AURKA,resistant,scout1,6.0,0.0,0.538,2.99,100.0,,database,73.3,99.4,100.0,73.3,70,77.9,85.2,70
CHEMBL538346,Cl.Oc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,PIK3CA,escape_route,scout1,3.6,0.0,0.567,2.67,100.0,,database,80.6,99.6,100.0,56.4,70,81.4,85.1,71
CHEMBL538346,Cl.Oc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,PIK3CA,escape_route,scout1,3.6,0.0,0.567,2.67,100.0,,database,80.6,99.6,100.0,56.4,70,81.4,85.1,72
CHEMBL3898577,CO[C@H]1C[C@@H](n2c(=O)n(C)c3cnc4cc(F)c(-c5ccc(OCCCN(C)C)nc5F)cc4c32)C1,ATM,resistant,scout1,2.62,0.0,0.272,3.14,95.4,,database,85.2,79.8,95.4,85.2,70,76.2,84.7,73
CHEMBL207994,COc1cc(OC)c(NC(=O)Nc2cnc(C#N)cn2)cc1Cl,CHEK1,resistant,scout1,7.0,0.0,0.89,2.37,100.0,,database,71.1,99.3,100.0,71.1,70,84.8,84.6,74
CHEMBL202930,COc1cc(-c2ccc3c(c2)NC(=O)/C3=C\c2ccc[nH]2)ccc1O,CHEK1,resistant,scout1,7.0,0.0,0.637,2.5,100.0,,database,71.1,99.3,100.0,71.1,70,83.3,84.5,75
CHEMBL192161,CC1(COc2ccc(Cl)cc2NC(=O)Nc2cnc(C#N)cn2)COC1,CHEK1,resistant,scout1,7.0,0.0,0.833,2.74,100.0,,database,71.1,99.3,100.0,71.1,70,80.7,84.4,76
,Cc1nc(Cl)cc(-c2nn(C(F)F)cc2Cc2ccccc2OCCN2CCNC(=O)C2)n1,EZH2,resistant,scout2,3.12,476.9,0.503,4.1,70.0,0.452,r_group,82.7,99.7,70.0,82.7,100,65.6,84.4,77
CHEMBL3907190,CN(C)CCCOc1ccc(-c2ccc3ncc4[nH]c(=O)n(C5CCOCC5)c4c3c2)cn1,ATM,resistant,scout1,3.22,0.0,0.436,2.77,98.7,,database,82.2,79.7,98.7,82.2,70,80.3,84.2,78
CHEMBL561708,COC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)OC)CC4)c3n2)cc1,MTOR,escape_route,scout1,4.3,0.0,0.582,2.68,100.0,,database,78.1,99.6,100.0,54.7,70,81.3,84.1,79
CHEMBL87070,O=C(O)c1c(Cc2cc3c(cc2Cl)OCO3)c(-c2ccccc2)nn1CC1CCCCC1,CHEK2,resistant,scout1,2.6,0.0,0.511,2.61,90.2,,database,85.3,79.8,90.2,85.3,70,82.1,84.0,80
CHEMBL3142900,O=C[C@H](CC(=O)O)NC(=O)C1CCCN2C(=O)CC[C@H](NC(=O)c3ccccc3F)C(=O)N12,CD274,immune,scout1,1.0,0.0,0.467,3.65,89.3,,database,99.0,99.9,89.3,29.7,70,70.6,84.0,81
,NS(=O)(=O)c1c(Cc2cc3c(cc2Cl)OCO3)c(-c2cccs2)nn1CC1CCCCC1,CHEK2,resistant,scout2,3.39,494.0,0.531,4.0,70.0,0.452,bioisostere,81.5,99.7,70.0,81.5,100,66.7,83.9,82
,CNC(=O)c1c(Cc2cc3c(cc2Cl)OCO3)c(-c2cccs2)nn1CC1CCCCC1,CHEK2,resistant,scout2,3.38,472.0,0.513,4.0,70.0,0.553,r_group,81.5,99.7,70.0,81.5,100,66.7,83.9,83
,NC(=O)c1c(Cc2cc3c(cc2Cl)OCO3)c(-c2ccccc2)nn1CC1CCCCC1,CHEK2,resistant,scout2,3.41,452.0,0.558,4.0,70.0,0.655,r_group,81.4,99.7,70.0,81.4,100,66.7,83.9,84
,O=C(O)c1c(Cc2cc3c(cc2Cl)OCO3)c(-c2ccoc2)nn1CC1CCCCC1,CHEK2,resistant,scout2,3.45,442.9,0.55,3.9,70.0,0.501,bioisostere,81.3,99.7,70.0,81.3,100,67.8,83.9,85
,NC(=O)c1c(Cc2cc3c(cc2Cl)OCO3)c(-c2ccsc2)nn1CC1CCCCC1,CHEK2,resistant,scout2,3.41,458.0,0.547,3.9,70.0,0.547,bioisostere,81.4,99.7,70.0,81.4,100,67.8,83.9,86
CHEMBL133855,CCOC(=O)c1ccc(-c2nc3c(C(N)=O)cccc3[nH]2)cc1,PARP1,resistant,scout1,8.1,0.0,0.723,2.0,100.0,,database,69.0,99.2,100.0,69.0,70,88.9,83.8,87
,O=C(O)c1c(Cc2cc3c(cc2Cl)OCO3)c(-c2cc[nH]c2)nn1CC1CCCCC1,CHEK2,resistant,scout2,3.46,441.9,0.553,3.9,70.0,0.503,bioisostere,81.2,99.7,70.0,81.2,100,67.8,83.8,88
,NS(=O)(=O)c1c(Cc2cc3c(cc2Cl)OCO3)c(-c2ccsc2)nn1CC1CCCCC1,CHEK2,resistant,scout2,3.47,494.0,0.531,4.0,70.0,0.466,bioisostere,81.2,99.7,70.0,81.2,100,66.7,83.8,89
,NS(=O)(=O)C(=O)c1c(Cc2cc3c(cc2Cl)OCO3)c(-c2ccccc2)nn1CC1CCCCC1,CHEK2,resistant,scout2,3.4,516.0,0.516,4.4,70.0,0.695,r_group,81.5,99.7,70.0,81.5,100,62.2,83.7,90
CHEMBL5220895,Cn1cc(Cc2ccccc2OCCN2CC3CC(C2)O3)c(-c2cc(Cl)nc(N)n2)n1,EZH2,resistant,scout1,6.7,0.0,0.564,4.44,100.0,,database,71.7,99.3,100.0,71.7,70,61.8,83.7,91
CHEMBL423573,O=C1NCCc2c(-c3ccccc3Cl)[nH]c3cccc1c23,PARP1,resistant,scout1,8.0,0.0,0.705,2.36,100.0,,database,69.2,99.2,100.0,69.2,70,84.9,83.7,92
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,AKT1,escape_route,scout1,1.5,0.0,0.406,4.95,98.1,,database,93.2,79.9,98.1,65.2,70,56.1,83.6,93
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,AKT1,escape_route,scout1,1.5,0.0,0.406,4.95,98.1,,database,93.2,79.9,98.1,65.2,70,56.1,83.6,94
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,AKT1,escape_route,scout1,1.5,0.0,0.406,4.95,98.1,,database,93.2,79.9,98.1,65.2,70,56.1,83.6,95
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,AKT1,escape_route,scout1,1.5,0.0,0.406,4.95,98.1,,database,93.2,79.9,98.1,65.2,70,56.1,83.6,96
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,AKT1,escape_route,scout1,1.5,0.0,0.406,4.95,98.1,,database,93.2,79.9,98.1,65.2,70,56.1,83.6,97
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,AKT1,escape_route,scout1,1.5,0.0,0.406,4.95,98.1,,database,93.2,79.9,98.1,65.2,70,56.1,83.6,98
,NC(=O)c1c(Cc2cc3c(cc2Cl)OCO3)c(-c2cccs2)nn1CC1CCCCC1,CHEK2,resistant,scout2,3.59,458.0,0.547,3.9,70.0,0.512,bioisostere,80.7,99.6,70.0,80.7,100,67.8,83.6,99
,CN.Clc1cc2c(cc1Cc1cn(CC3CCCCC3)nc1-c1ccsc1)OCO2.O,CHEK2,resistant,scout2,3.57,464.0,0.581,3.9,70.0,0.445,bioisostere,80.8,99.6,70.0,80.8,100,67.8,83.6,100
,O=C(O)c1c(Cc2cc3c(cc2Cl)OCO3)c(-c2ccncc2)nn1CC1CCCCC1,CHEK2,resistant,scout2,3.56,453.9,0.552,4.0,70.0,0.542,bioisostere,80.8,99.6,70.0,80.8,100,66.7,83.6,101
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,AKT1,escape_route,scout1,1.5,0.0,0.406,4.95,98.1,,database,93.2,79.9,98.1,65.2,70,56.1,83.6,102
,CNC(=O)c1c(Cc2cc3c(cc2Cl)OCO3)c(-c2ccccc2)nn1CC1CCCCC1,CHEK2,resistant,scout2,3.56,466.0,0.524,4.1,70.0,0.457,r_group,80.8,99.6,70.0,80.8,100,65.6,83.5,103
