smiles,target_gene,generation_method,qed,sa_score,mw,predicted_ic50_nM,binding_energy_kcal,best_similarity,mean_similarity,confidence,n_references
CCn1c(=O)n([C@H]2CCCOC2)c2c3cc(-c4ccc(OCCCN5CCCC5)nc4)ccc3ncc21,ATM,r_group,0.327,4.6,501.6,0.28,-12.43,0.491,0.401,0.737,10
CC(C)n1c(=O)n(C)c2cnc3ccc(-c4ccc(OCCCN(C)C)nc4)cc3c21.CN,ATM,bioisostere,0.434,4.1,450.6,0.28,-12.45,0.488,0.405,0.732,10
N#Cn1c(=O)n([C@H]2CCCOC2)c2c3cc(-c4ccc(OCCCN5CCCC5)nc4)ccc3ncc21,ATM,r_group,0.356,4.6,498.6,0.28,-12.45,0.618,0.387,0.928,10
NS(=O)(=O)n1c(=O)n([C@H]2CCCOC2)c2c3cc(-c4ccc(OCCCN5CCCC5)nc4)ccc3ncc21,ATM,r_group,0.33,4.9,552.7,0.28,-12.43,0.54,0.409,0.81,10
O=c1n(Cl)c2cnc3ccc(-c4ccc(OCCCN5CCCC5)nc4)cc3c2n1[C@H]1CCCOC1,ATM,r_group,0.339,4.5,508.0,0.28,-12.45,0.599,0.372,0.898,10
O=c1n(F)c2cnc3ccc(-c4ccc(OCCCN5CCCC5)nc4)cc3c2n1[C@H]1CCCOC1,ATM,r_group,0.358,4.5,491.6,0.28,-12.44,0.511,0.388,0.766,10
O=C(Nc1ccc(CO)cc1)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)OF)CC4)c3n2)cc1,MTOR,r_group,0.302,5.4,590.6,0.37,-12.28,0.614,0.436,0.922,10
COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccsc4)nc32)CC1.NC(=O)Nc1ccc(CO)cc1,MTOR,bioisostere,0.314,5.2,594.7,0.38,-12.25,0.536,0.433,0.805,10
CCOC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)Nc5cccnc5)cc4)nc32)CC1,MTOR,r_group,0.349,5.2,571.6,0.38,-12.26,0.609,0.497,0.913,10
CCNC(=O)Nc1cc[nH]c1.COC(=O)N1CCC(n2ncc3c(N4CCOCC4)ncnc32)CC1,MTOR,bioisostere,0.496,4.5,499.6,0.39,-12.24,0.467,0.371,0.7,10
CO.COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)Nc5ccoc5)cc4)nc32)CC1,MTOR,bioisostere,0.319,5.2,578.6,0.39,-12.25,0.61,0.464,0.914,10
C.NC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)Nc5ccncc5)cc4)nc32)CC1,MTOR,bioisostere,0.335,5.1,558.6,0.39,-12.24,0.54,0.445,0.811,10
CO.COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)Nc5ccsc5)cc4)nc32)CC1,MTOR,bioisostere,0.311,5.2,594.7,0.39,-12.24,0.588,0.455,0.882,10
O=C(Nc1ccncc1)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)OCl)CC4)c3n2)cc1,MTOR,r_group,0.355,5.1,578.0,0.39,-12.24,0.498,0.432,0.746,10
CCOC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)Nc5ccncc5)cc4)nc32)CC1,MTOR,r_group,0.349,5.2,571.6,0.39,-12.24,0.533,0.452,0.799,10
CC(C)OC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)Nc5ccncc5)cc4)nc32)CC1,MTOR,r_group,0.333,5.4,585.7,0.39,-12.24,0.553,0.465,0.83,10
COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccsc4)nc32)CC1.NC(=O)Nc1cccnc1,MTOR,bioisostere,0.379,5.0,565.7,0.4,-12.22,0.444,0.39,0.666,10
COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccoc4)nc32)CC1.NC(=O)Nc1cccnc1,MTOR,bioisostere,0.386,5.0,549.6,0.4,-12.23,0.443,0.393,0.665,10
CNC(=S)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(Cc5cccnc5)CC4)c3n2)cc1,MTOR,bioisostere,0.352,4.9,543.7,0.4,-12.23,0.527,0.412,0.79,10
