chembl_id,smiles,target_gene,population_target,source,activity_nM,mw,qed,sa_score,admet_score,best_similarity,generation_method,score_efficacy,score_selectivity,score_safety,score_resistance,score_novelty,score_synth,score_overall,rank,herg_alerts,herg_risk,brenk_alerts,mutagenicity_risk,cyp_2d6_risk,cyp_3a4_risk,reactive_alerts,tox_score,offtarget_flags,n_offtarget_flags,selectivity_score,score_tox,score_selectivity_new,score_rebalanced,rank_new
CHEMBL3963290,Cn1c(=O)n(C2CCOCC2)c2c3cc(-c4ccc(OCCCN5CCCC5)nc4)ccc3ncc21,ATM,resistant,scout1,1.12,0.0,0.365,2.79,97.3,,database,97.4,79.9,97.3,97.4,70,80.1,90.8,32,0,medium,0,low,high,low,0,75,[],0,100,75,100,89.4,30
CHEMBL3895211,CO[C@H]1C[C@@H](n2c(=O)n(C)c3cnc4cc(F)c(-c5ccc(OCCCN6CCCC6)nc5)cc4c32)C1,ATM,resistant,scout1,0.418,0.0,0.333,2.97,86.7,,database,100.0,80.0,86.7,100.0,70,78.1,89.7,39,0,medium,0,low,high,low,0,75,[],0,100,75,100,89.3,31
CHEMBL3890119,Cn1c(=O)n([C@H]2CCCOC2)c2c3cc(-c4ccc(OCCCN5CCCC5)nc4)c(F)cc3ncc21,ATM,resistant,scout1,0.563,0.0,0.349,3.37,87.0,,database,100.0,80.0,87.0,100.0,70,73.7,89.6,41,0,medium,0,low,high,low,0,75,[],0,100,75,100,89.1,32
CHEMBL4114060,Cn1c(=O)n([C@@H]2CCCOC2)c2c3cc(-c4ccc(OCCCN5CCCC5)nc4)c(F)cc3ncc21,ATM,resistant,scout1,0.69,0.0,0.349,3.37,87.0,,database,100.0,79.9,87.0,100.0,70,73.7,89.6,42,0,medium,0,low,high,low,0,75,[],0,100,75,100,89.1,33
CHEMBL3912673,CN(C)CCCOc1ccc(-c2cc3c(cc2F)ncc2c3n([C@H]3CCCOC3)c(=O)n2C)cn1,ATM,resistant,scout1,1.14,0.0,0.376,3.39,97.5,,database,97.1,79.9,97.5,97.1,70,73.4,90.4,34,1,medium,0,low,high,low,0,75,[],0,100,75,100,89.0,34
CHEMBL5218878,Nc1nc(Cl)cc(-c2nn(C(F)F)cc2Cc2ccccc2OCCN2CCNC(=O)C2)n1,EZH2,resistant,scout1,2.1,0.0,0.479,3.13,100.0,,database,88.4,99.8,100.0,88.4,70,76.3,92.0,10,0,medium,0,low,low,low,0,85,['muscarinic'],1,85,85,85,88.9,35
CHEMBL551442,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCNCC4)c3n2)cc1,MTOR,escape_route,scout1,1.4,0.0,0.574,2.67,100.0,,database,94.2,99.9,100.0,65.9,70,81.4,90.7,33,0,medium,0,low,low,low,0,85,[],0,100,85,100,88.7,36
CHEMBL382667,COc1cc2c(Nc3cnc(NC(=O)c4ccc(F)c(Cl)c4)nc3)ncnc2cc1OCCCN1CCOCC1,AURKA,resistant,scout1,0.15,0.0,0.268,2.69,85.4,,database,100.0,80.0,85.4,100.0,70,81.2,89.6,40,0,high,0,low,low,low,0,70,[],0,100,70,100,88.6,37
CHEMBL195373,N#Cc1cnc(NC(=O)Nc2cc(Cl)ccc2OC2CCOC2)cn1,CHEK1,resistant,scout1,3.0,0.0,0.868,3.04,100.0,,database,83.3,99.7,100.0,83.3,70,77.3,89.8,38,0,medium,0,low,low,low,0,85,[],0,100,85,100,88.4,38
,CCNC(=O)Nc1ccoc1.COC(=O)N1CCC(n2ncc3c(N4CCOCC4)ncnc32)CC1,MTOR,escape_route,scout2,0.4,500.6,0.553,4.5,70.0,0.477,bioisostere,100.0,100.0,70.0,70.0,100,61.1,87.5,51,0,medium,0,low,low,low,0,85,[],0,100,85,100,88.3,39
CHEMBL202567,COc1cc2c(Nc3ncc(C(=O)Nc4ccc(F)cc4)s3)ncnc2cc1OCCCN1CCOCC1,AURKA,resistant,scout1,1.0,0.0,0.285,2.61,85.7,,database,99.0,79.9,85.7,99.0,70,82.1,89.3,43,0,high,0,low,low,low,0,70,[],0,100,70,100,88.3,40
,CCNC(=O)Nc1ccsc1.COC(=O)N1CCC(n2ncc3c(N4CCOCC4)ncnc32)CC1,MTOR,escape_route,scout2,0.4,516.6,0.542,4.5,70.0,0.451,bioisostere,100.0,100.0,70.0,70.0,100,61.1,87.5,49,0,medium,0,low,low,low,0,85,[],0,100,85,100,88.3,41
CHEMBL313153,O=C(O)c1c(Cc2cc3c(cc2Cl)OCO3)c(-c2cccs2)nn1CC1CCCCC1,CHEK2,resistant,scout1,1.7,0.0,0.5,2.82,90.0,,database,91.4,79.9,90.0,91.4,70,79.8,86.6,58,0,medium,0,low,low,low,0,85,[],0,100,85,100,87.8,42
CHEMBL372543,O/N=C1/CCc2cc(-c3[nH]c(-c4ccccc4)nc3-c3ccncc3)ccc21,BRAF,escape_route,scout1,1.3,0.0,0.399,2.53,100.0,,database,95.2,99.9,100.0,66.7,70,83.0,91.2,28,0,medium,0,low,high,low,0,75,[],0,100,75,100,87.7,43
CHEMBL5218552,COC(=O)[C@@H]1COCCN1CCOc1ccccc1Cc1cn(C(F)F)nc1-c1cc(Cl)nc(N)n1,EZH2,resistant,scout1,2.2,0.0,0.334,3.64,91.7,,database,87.7,99.8,91.7,87.7,70,70.7,89.8,37,0,medium,0,low,low,low,0,85,['muscarinic'],1,85,85,85,87.5,44
CHEMBL5218615,Nc1nc(Cl)cc(-c2nn(C(F)F)cc2Cc2ccccc2OCCN2CCS(=O)(=O)CC2)n1,EZH2,resistant,scout1,2.4,0.0,0.458,3.19,94.2,,database,86.5,99.8,94.2,86.5,70,75.7,90.0,36,0,medium,0,low,low,low,0,85,['muscarinic'],1,85,85,85,87.5,45
CHEMBL558288,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)NC)CC4)c3n2)cc1,MTOR,escape_route,scout1,2.0,0.0,0.507,2.75,100.0,,database,89.1,99.8,100.0,62.3,70,80.6,88.5,46,0,medium,0,low,low,low,0,85,[],0,100,85,100,86.9,46
CHEMBL562999,COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)NC5CC5)cc4)nc32)CC1,MTOR,escape_route,scout1,0.45,0.0,0.526,2.72,90.5,,database,100.0,80.0,90.5,70.0,70,80.9,86.1,62,0,medium,0,low,low,low,0,85,[],0,100,85,100,86.8,47
,CCNC(=O)Nc1ccncc1.COC(=O)N1CCC(n2ncc3c(N4CCOCC4)ncnc32)CC1,MTOR,escape_route,scout2,0.4,511.6,0.54,4.6,70.0,0.449,bioisostere,100.0,100.0,70.0,70.0,100,60.0,87.5,50,0,medium,0,low,high,low,0,75,[],0,100,75,100,86.8,48
CHEMBL562365,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(C)=O)CC4)c3n2)cc1,MTOR,escape_route,scout1,2.1,0.0,0.591,2.66,100.0,,database,88.4,99.8,100.0,61.9,70,81.6,88.3,47,0,medium,0,low,low,low,0,85,[],0,100,85,100,86.7,49
CHEMBL550972,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(Cc5ccccc5)CC4)c3n2)cc1,MTOR,escape_route,scout1,0.52,0.0,0.393,2.61,87.9,,database,100.0,80.0,87.9,70.0,70,82.1,85.7,64,0,medium,0,low,low,low,0,85,[],0,100,85,100,86.6,50
CHEMBL207994,COc1cc(OC)c(NC(=O)Nc2cnc(C#N)cn2)cc1Cl,CHEK1,resistant,scout1,7.0,0.0,0.89,2.37,100.0,,database,71.1,99.3,100.0,71.1,70,84.8,84.6,74,0,low,0,low,low,low,0,100,[],0,100,100,100,86.1,51
CHEMBL5219579,Nc1nc(Cl)cc(-c2nn(C(F)F)cc2Cc2ccccc2OCCN2CCO[C@@H](CO)C2)n1,EZH2,resistant,scout1,3.3,0.0,0.437,3.57,100.0,,database,81.9,99.7,100.0,81.9,70,71.4,88.8,44,0,medium,0,low,low,low,0,85,['muscarinic'],1,85,85,85,86.0,52
CHEMBL5219830,Nc1nc(Cl)cc(-c2nn(C(F)F)cc2Cc2ccccc2OCCN2CCOC[C@H]2CO)n1,EZH2,resistant,scout1,3.33,0.0,0.437,3.64,100.0,,database,81.8,99.7,100.0,81.8,70,70.7,88.7,45,0,medium,0,low,low,low,0,85,['muscarinic'],1,85,85,85,86.0,53
