gene,patient
OTOP2,0.9
JPH2,0.9
PADI3,0.9
TBRG4,0.9
SLC26A3,0.9
PARP15,0.9
ITGB8,0.9
ITGBL1,0.9
ITIH1,0.9
PARP10,0.9
ITLN1,0.9
PAPPA2,0.9
PAFAH1B1,0.9
ITPRIP,0.9
PALM2AKAP2,0.9
SLC27A3,0.9
IVL,0.9
TCF3,0.9
JAG1,0.9
TBX18,0.9
SLC34A2,0.9
ITGB3,0.9
OR8D2,0.9
TBCD,0.9
KDM4A,0.9
ORC5,0.9
KEL,0.9
SLC35F4,0.9
KHDRBS2,0.9
KIAA0825,0.9
KCTD18,0.9
OR8D1,0.9
OR8B12,0.9
SLC36A2,0.9
TBC1D22B,0.9
TBC1D2,0.9
OR6P1,0.9
OSBPL11,0.9
KCTD16,0.9
KCNH4,0.9
KCNJ8,0.9
KCNH6,0.9
OSMR,0.9
OSGIN2,0.9
TBR1,0.9
KCNJ12,0.9
TBL1XR1,0.9
KCNK18,0.9
KCTD13,0.9
KCNK9,0.9
KCNMB1,0.9
KCNN1,0.9
OSBPL3,0.9
OSBPL2,0.9
OSBPL1A,0.9
PARP4,0.9
ITGAL,0.9
PDS5B,0.9
PCDHGC5,0.9
PCK1,0.9
TFR2,0.9
TFAP2D,0.9
TF,0.9
IFRD2,0.9
IFT172,0.9
IGFALS,0.9
SLC25A24,0.9
PCDHGB4,0.9
TEX14,0.9
PCDHGB3,0.9
PCDHGB1,0.9
PCDHGA7,0.9
TET2,0.9
IDE,0.9
TGFBR2,0.9
PCDHGA3,0.9
PDCD4,0.9
SLC22A25,0.9
THRAP3,0.9
SLC22A9,0.9
HOXD4,0.9
PDE7A,0.9
MYO1C,0.9
PDCD11,0.9
HTRA4,0.9
HSPA14,0.9
TGM4,0.9
PCSK1,0.9
HTR3E,0.9
HTR4,0.9
SLC25A23,0.9
IKBKE,0.9
IKZF5,0.9
ITGA6,0.9
IRAG1,0.9
PCCA,0.9
IPO9,0.9
TDRD5,0.9
PC,0.9
SLC25A4,0.9
PBRM1,0.9
SLC25A41,0.9
PCDH8,0.9
IRX4,0.9
PAXIP1,0.9
ISM1,0.9
ITGA11,0.9
ITGA2B,0.9
PARP8,0.9
IPO4,0.9
INTU,0.9
IL12RB1,0.9
TELO2,0.9
IL12RB2,0.9
IL17RA,0.9
PCDHB15,0.9
IL23R,0.9
TENM1,0.9
PCDHB14,0.9
TEKT3,0.9
PCDHA1,0.9
TEFM,0.9
INPP5E,0.9
INPP5F,0.9
INSM2,0.9
INTS15,0.9
INTS3,0.9
DHX34,0.9
ZZEF1,0.9
DHX29,0.9
CCDC91,0.9
AOC1,0.9
CCDC57,0.9
ZBTB49,0.9
CCDC66,0.9
ZBTB45,0.9
CCDC78,0.9
ANXA13,0.9
CCDC88A,0.9
ANO3,0.9
CNGB3,0.9
ANKRD53,0.9
ANKRD52,0.9
ZNF655,0.9
CNGB1,0.9
ZBTB39,0.9
AP1M1,0.9
CCER1,0.9
CNGA1,0.9
ANKRD34C,0.9
CNDP2,0.9
CCKBR,0.9
CYP4A22,0.9
ZBTB2,0.9
ANKRD13A,0.9
ANKMY1,0.9
CYP51A1,0.9
ANK1,0.9
ANGEL2,0.9
AMZ1,0.9
VSIG2,0.9
AP1G2,0.9
AP2A1,0.9
ADRA1D,0.9
APP,0.9
CC2D1B,0.9
CC2D2A,0.9
ARHGAP17,0.9
USP31,0.9
ZNF572,0.9
ZNF574,0.9
CCDC120,0.9
CXXC1,0.9
ARAP1,0.9
ZNF579,0.9
ZNF583,0.9
USP26,0.9
ZC3H7A,0.9
CNPPD1,0.9
ZNF592,0.9
AP3B1,0.9
ZNF599,0.9
API5,0.9
APCDD1L,0.9
APBB2,0.9
APBB1,0.9
CCDC174,0.9
CYLC1,0.9
CCDC181,0.9
USP19,0.9
AP5Z1,0.9
USP16,0.9
CYP1B1,0.9
AP4B1,0.9
AP3D1,0.9
ZNF697,0.9
CCPG1,0.9
ZBED4,0.9
CDH5,0.9
UPF1,0.9
DCAF12L2,0.9
AK7,0.9
AJM1,0.9
AIRE,0.9
AIM2,0.9
CDH1,0.9
AIFM2,0.9
CDH15,0.9
DCAF6,0.9
CDH17,0.9
CDH22,0.9
DCAF8L1,0.9
CDH4,0.9
CDH6,0.9
AMER3,0.9
VTN,0.9
ZNF784,0.9
DCDC1,0.9
VWA3B,0.9
AGGF1,0.9
AFP,0.9
AFM,0.9
CDON,0.9
XAB2,0.9
AFAP1L2,0.9
WWP1,0.9
DCST2,0.9
ZNF800,0.9
WRNIP1,0.9
CLSPN,0.9
AKAP3,0.9
XRN1,0.9
ZNF768,0.9
AMER2,0.9
AMER1,0.9
AMBN,0.9
ZBBX,0.9
ALPP,0.9
ALPK3,0.9
ZAR1L,0.9
ALPG,0.9
DACT1,0.9
ZNF711,0.9
CD163,0.9
CD163L1,0.9
ZNF716,0.9
VSIR,0.9
URB1,0.9
ZNF729,0.9
ALDH9A1,0.9
ZNF74,0.9
ALDH5A1,0.9
ALDH3A1,0.9
YJU2B,0.9
ALDH1A1,0.9
ALB,0.9
AKT1,0.9
CLU,0.9
XYLT2,0.9
XYLT1,0.9
CLTCL1,0.9
CD84,0.9
ARHGAP30,0.9
ARHGAP36,0.9
ARHGEF11,0.9
B3GAT1,0.9
BAZ1A,0.9
VIM,0.9
C1ORF159,0.9
BARD1,0.9
BAP1,0.9
ZNF335,0.9
BAHD1,0.9
BAG6,0.9
BACH1,0.9
B4GALT2,0.9
B3GNT9,0.9
C1S,0.9
B3GAT3,0.9
ZMIZ1,0.9
ZNF366,0.9
C6ORF118,0.9
ATXN7L2,0.9
ATXN3,0.9
ZNF395,0.9
CSDE1,0.9
ATRIP,0.9
ATP9A,0.9
ATP8B2,0.9
C3,0.9
ATP6V0A4,0.9
CORO2B,0.9
ZKSCAN2,0.9
CORO1B,0.9
ZNF432,0.9
ZNF438,0.9
BAZ1B,0.9
BAZ2B,0.9
CPNE3,0.9
BBS12,0.9
BNC2,0.9
BPI,0.9
ZNF236,0.9
BMP7,0.9
BMP2,0.9
ZNF254,0.9
BLZF1,0.9
BLVRA,0.9
BRAT1,0.9
BLTP2,0.9
BID,0.9
CR1L,0.9
BRINP1,0.9
BRINP2,0.9
BRIP1,0.9
BRSK1,0.9
ZNF205,0.9
BTBD8,0.9
CPT2,0.9
BCL7C,0.9
CPT1B,0.9
C11ORF16,0.9
BCL11B,0.9
CRIM1,0.9
VGLL3,0.9
BCAR3,0.9
CPNE6,0.9
C15ORF39,0.9
ZNF142,0.9
ATP1A2,0.9
ATP13A4,0.9
CNR2,0.9
ZNF532,0.9
COG7,0.9
ARVCF,0.9
CAPN2,0.9
USP47,0.9
ARSD,0.9
CAPRIN2,0.9
ZNF513,0.9
ZDHHC5,0.9
ARNT,0.9
ARMH4,0.9
ZDHHC4,0.9
COBL,0.9
COASY,0.9
CARMIL1,0.9
CARMIL3,0.9
ATP13A3,0.9
CASC3,0.9
CASKIN1,0.9
CASP1,0.9
ZNF540,0.9
CNTN5,0.9
CUL1,0.9
ZNF555,0.9
CNTN3,0.9
ARID4B,0.9
CAVIN2,0.9
CNST,0.9
CBFA2T2,0.9
ZCCHC8,0.9
ARHGEF2,0.9
CTNND1,0.9
ZEB2,0.9
USP5,0.9
COL21A1,0.9
C7,0.9
ATP13A2,0.9
ATP13A1,0.9
VNN2,0.9
CSNK1G2,0.9
ATP10D,0.9
ZGRF1,0.9
ATL3,0.9
COPG1,0.9
COPE,0.9
ZFR,0.9
VPS16,0.9
CACNA1D,0.9
CACNA2D4,0.9
CACNB1,0.9
ASPHD2,0.9
ASPHD1,0.9
CACNG3,0.9
CADM4,0.9
CALCOCO1,0.9
CALD1,0.9
COL4A6,0.9
CALHM1,0.9
CAMK2A,0.9
CTCFL,0.9
ZFAT,0.9
COL24A1,0.9
CAMSAP2,0.9
CTDSPL2,0.9
CELA3B,0.9
ZNF234,0.9
ACO2,0.9
ABCA6,0.9
ACADL,0.9
ADCY4,0.9
ADCY3,0.9
ACTG1,0.9
WDR17,0.9
WDR48,0.9
CFHR4,0.9
WDR49,0.9
DDX54,0.9
ADCK2,0.9
ACAD9,0.9
ZNF862,0.9
CERKL,0.9
CLCN6,0.9
ABCF2,0.9
CHRNA4,0.9
ADCY7,0.9
DGKG,0.9
ABCB5,0.9
ACSL4,0.9
ZSCAN20,0.9
ZSCAN21,0.9
CHLSN,0.9
ACSM4,0.9
DGKZ,0.9
UNC45B,0.9
CHTF18,0.9
ACSS1,0.9
CEP295,0.9
CEP68,0.9
ACTA2,0.9
WDR45B,0.9
WFIKKN1,0.9
ACAD8,0.9
ZSCAN29,0.9
WNK4,0.9
CKM,0.9
WDHD1,0.9
CFAP69,0.9
CHRM3,0.9
ACVR1C,0.9
WDR62,0.9
ADAM8,0.9
WDR20,0.9
ZSWIM2,0.9
CFAP58,0.9
DDX27,0.9
ABI3BP,0.9
DDX25,0.9
ADAM2,0.9
DES,0.9
WIPF3,0.9
ZNF99,0.9
CFH,0.9
CLEC17A,0.9
ABCG8,0.9
ADAMTS7,0.9
WASHC5,0.9
DDX43,0.9
WIZ,0.9
ABTB2,0.9
ADAMTS16,0.9
WDR3,0.9
DDX4,0.9
DDX10,0.9
DDX39B,0.9
DDX11,0.9
ADAMTS14,0.9
UNC13B,0.9
CEP170B,0.9
DDX60,0.9
ABLIM1,0.9
DCTN1,0.9
ABAT,0.9
UNC5A,0.9
CEP126,0.9
DEAF1,0.9
ZNF813,0.9
CENPE,0.9
DEDD2,0.9
WNT5A,0.9
ADGRL2,0.9
CLIP2,0.9
ZXDB,0.9
ABCA10,0.9
WDR1,0.9
UHRF2,0.9
ACSBG1,0.9
CEP164,0.9
CHD2,0.9
AARS2,0.9
CHGB,0.9
ACP4,0.9
WNT6,0.9
CHDH,0.9
UGGT1,0.9
ZNF841,0.9
ACLY,0.9
ACOT11,0.9
DEF6,0.9
CEP152,0.9
DHX15,0.9
ADRA1A,0.9
A2ML1,0.9
HOXB5,0.7
CABP4,0.7
MARK3,0.7
HIF3A,0.7
MCCC1,0.7
CABP2,0.7
MARVELD3,0.7
MARCHF6,0.7
LRRFIP1,0.7
WDR73,0.7
ZFP91,0.7
LRRFIP2,0.7
TLE2,0.7
MARCHF11,0.7
CA9,0.7
HMBS,0.7
HIF1AN,0.7
WDR81,0.7
MCM4,0.7
CACNB2,0.7
MCM6,0.7
ZHX2,0.7
LRRC40,0.7
LRRC34,0.7
CARD8,0.7
ST8SIA5,0.7
CHRNA1,0.7
MC4R,0.7
MC3R,0.7
LRRC47,0.7
CHD1L,0.7
ST3GAL6,0.7
HK1,0.7
LRRC43,0.7
STT3A,0.7
CARD17P,0.7
STS,0.7
MC2R,0.7
C9,0.7
HIRA,0.7
MBOAT7,0.7
MBNL2,0.7
C8A,0.7
MAP7D1,0.7
MBL2,0.7
MCHR2,0.7
CAPZB,0.7
MCM10,0.7
LRRC8D,0.7
ST7L,0.7
HIPK4,0.7
ST8SIA3,0.7
MCM3,0.7
THSD4,0.7
ZFYVE1,0.7
STARD13,0.7
CAPN10,0.7
MAP6,0.7
MAP4K3,0.7
CHIT1,0.7
MAGEA10,0.7
HOXA2,0.7
MAGEA11,0.7
CAPN15,0.7
MAGEA4,0.7
MAGEB10,0.7
MAGEB3,0.7
MAGEB6,0.7
CHML,0.7
MAGEC3,0.7
HOXA4,0.7
MAGED1,0.7
MAGED2,0.7
CAMK1D,0.7
MAFA,0.7
TIGD3,0.7
TICAM1,0.7
STK24,0.7
STK38L,0.7
TIE1,0.7
STK31,0.7
CAMTA2,0.7
HNRNPUL2,0.7
LUZP1,0.7
TICRR,0.7
CAMK4,0.7
MAB21L2,0.7
LUC7L,0.7
HNRNPU,0.7
MACO1,0.7
LTK,0.7
LTF,0.7
MAK,0.7
THUMPD1,0.7
CALHM3,0.7
LRSAM1,0.7
MAP3K15,0.7
STAT4,0.7
LRTM2,0.7
ZFP62,0.7
MAP3K5,0.7
LRTM1,0.7
STAT2,0.7
MAP3K10,0.7
MAP3K8,0.7
MAP4K1,0.7
LRRTM2,0.7
LRRN2,0.7
LRRN1,0.7
MAP4K2,0.7
TIMM44,0.7
LRWD1,0.7
CAPN6,0.7
MAN2C1,0.7
STC2,0.7
HNRNPA2B1,0.7
MAN2B1,0.7
STOX1,0.7
TIMELESS,0.7
ZDHHC8,0.7
MANEA,0.7
MAP3K1,0.7
STPG3,0.7
CALCR,0.7
MAP1S,0.7
MAP2K1,0.7
CAGE1,0.7
STAT5A,0.7
LRRTM1,0.7
IQCF2,0.7
MCMDC2,0.7
MSH5,0.7
MRGPRX1,0.7
MRI1,0.7
SPSB4,0.7
MRM3,0.7
HDAC7,0.7
ZNF148,0.7
MRPL24,0.7
MRPL35,0.7
TM4SF20,0.7
SPRED2,0.7
MRPL9,0.7
MRPS25,0.7
MRS2,0.7
MRTFA,0.7
ZNF160,0.7
SPMIP9,0.7
SPMAP2,0.7
HDAC11,0.7
ZNF169,0.7
HDC,0.7
MR1,0.7
TLX3,0.7
SRD5A3,0.7
MMP25,0.7
MMP27,0.7
MMP8,0.7
C1ORF174,0.7
MMS22L,0.7
C1ORF167,0.7
HECTD3,0.7
SREBF1,0.7
MOGAT2,0.7
C16ORF96,0.7
CIAO1,0.7
HEATR4,0.7
HDHD3,0.7
MON1A,0.7
MORC3,0.7
MPDZ,0.7
MPO,0.7
MPP2,0.7
HCK,0.7
HCFC1,0.7
MCRS1,0.7
MSLN,0.7
SPDYE3,0.7
TMC5,0.7
ZNF217,0.7
BRD9,0.7
BRD8,0.7
BRD7,0.7
HARS2,0.7
BRD2,0.7
HARS1,0.7
WDR35,0.7
HAPLN1,0.7
MYC,0.7
SPATA9,0.7
ZNF225,0.7
TMCC1,0.7
CIPC,0.7
ZNF229,0.7
HAL,0.7
MYH15,0.7
TMC2,0.7
HAUS3,0.7
TMA16,0.7
SPHK1,0.7
MSRB3,0.7
HCAR1,0.7
BUB1,0.7
SPIB,0.7
BTNL8,0.7
BTNL3,0.7
MTFR2,0.7
ZNF197,0.7
MTIF2,0.7
SPECC1,0.7
MTMR11,0.7
MTMR12,0.7
BTN3A1,0.7
BTBD9,0.7
HBQ1,0.7
MTRR,0.7
TM9SF4,0.7
BTBD1,0.7
C1ORF198,0.7
MMP15,0.7
CHSY3,0.7
MMP14,0.7
LRRC31,0.7
MEGF6,0.7
CHRNB1,0.7
MEI1,0.7
MEIOC,0.7
HGD,0.7
SSMEM1,0.7
C2ORF81,0.7
CHRNB3,0.7
MEN1,0.7
CHRNB4,0.7
ZKSCAN5,0.7
CHRNE,0.7
MEP1B,0.7
C2ORF69,0.7
MESD,0.7
SSC5D,0.7
CHST12,0.7
C2CD5,0.7
MEF2C,0.7
MEDAG,0.7
SSRP1,0.7
C5ORF34,0.7
ZIC3,0.7
HIBCH,0.7
MDH1B,0.7
MDM1,0.7
MDM2,0.7
TLK2,0.7
ME2,0.7
HHIPL1,0.7
C5AR2,0.7
MED29,0.7
ST14,0.7
WDR59,0.7
MED14,0.7
TLL1,0.7
HGFAC,0.7
ZKSCAN3,0.7
C4BPA,0.7
SSTR2,0.7
METAP2,0.7
SSBP4,0.7
METTL17,0.7
ZMYM5,0.7
CHST2,0.7
MINDY1,0.7
CHST3,0.7
MINDY2,0.7
MINDY4,0.7
MIP,0.7
MITF,0.7
ZMYM4,0.7
MLH1,0.7
SRRM1,0.7
TLR5,0.7
MLKL,0.7
MLLT1,0.7
MLLT10,0.7
MLLT6,0.7
MME,0.7
SRGAP2,0.7
MMP13,0.7
SRPRA,0.7
MID2,0.7
METTL25B,0.7
MFSD6L,0.7
METTL9,0.7
MEX3A,0.7
SRSF6,0.7
MEX3D,0.7
C2CD2L,0.7
SRSF3,0.7
MFHAS1,0.7
MFN2,0.7
C22ORF31,0.7
MICU1,0.7
MGAT1,0.7
MGAT4A,0.7
TLR2,0.7
SRRM5,0.7
HERC4,0.7
CHST13,0.7
MIA2,0.7
MICALL1,0.7
MEFV,0.7
ZCCHC7,0.7
LRRC17,0.7
CEPT1,0.7
CEP97,0.7
KIAA0408,0.7
KIAA0513,0.7
CD22,0.7
KIAA1586,0.7
KIAA1614,0.7
KIAA1755,0.7
KIAA1958,0.7
TBC1D21,0.7
CD248,0.7
CD2,0.7
CD19,0.7
IL10RA,0.7
KIF17,0.7
CD180,0.7
TET1,0.7
CERK,0.7
KIF1C,0.7
CEP70,0.7
KIAA0319,0.7
CCT7,0.7
KCTD8,0.7
KCNV2,0.7
CD44,0.7
TERF2,0.7
KCTD17,0.7
YIPF7,0.7
TBC1D9B,0.7
TBC1D9,0.7
IL17RE,0.7
KDM1A,0.7
TBC1D2B,0.7
YLPM1,0.7
KDM4E,0.7
KDM5B,0.7
KDM5C,0.7
CD300E,0.7
YOD1,0.7
YTHDC1,0.7
TBC1D31,0.7
KIF21B,0.7
KIF3A,0.7
KLKB1,0.7
ZBTB10,0.7
ZBED5,0.7
KLHL12,0.7
CETP,0.7
KLHL18,0.7
KLHL20,0.7
KLHL21,0.7
ZBTB1,0.7
WIPI2,0.7
KLHL3,0.7
KLHDC2,0.7
CCNL2,0.7
CCNK,0.7
KLHL41,0.7
WIPI1,0.7
TAS2R3,0.7
KLHL7,0.7
KLK10,0.7
KLK8,0.7
KLHDC7A,0.7
KLF9,0.7
TBC1D16,0.7
CCR8,0.7
ZAP70,0.7
KIF5C,0.7
KIF6,0.7
IHH,0.7
KIF9,0.7
KIFAP3,0.7
CES1,0.7
KIR2DL1,0.7
KISS1R,0.7
KLF15,0.7
ZBED10P,0.7
CCR6,0.7
IGSF22,0.7
KLB,0.7
KLC1,0.7
TAX1BP1,0.7
TATDN1,0.7
IGSF21,0.7
KCNN4,0.7
TBK1,0.7
KCNK2,0.7
CDK17,0.7
CDKL1,0.7
ITIH2,0.7
CDK8,0.7
ITIH4,0.7
CENPN,0.7
ITK,0.7
INSYN1,0.7
WNT5B,0.7
CENPU,0.7
CDKN2A,0.7
ITPR3,0.7
CDK15,0.7
ITPRID2,0.7
CDK10,0.7
TCF7,0.7
TCF4,0.7
CDHR4,0.7
CDH26,0.7
ITGB6,0.7
ITGB2,0.7
KCNK16,0.7
IRX2,0.7
TDRD3,0.7
CELA3A,0.7
IQGAP2,0.7
CECR2,0.7
CELF3,0.7
TDRKH,0.7
WSCD1,0.7
IRX1,0.7
IRX6,0.7
INTS4,0.7
WT1,0.7
ISLR,0.7
CELF6,0.7
ITGA7,0.7
IPO5,0.7
ITGA9,0.7
CDR2,0.7
XAGE5,0.7
JMJD4,0.7
JMJD6,0.7
JMY,0.7
IL6ST,0.7
CDC25B,0.7
TBX2,0.7
CDC23,0.7
KCNF1,0.7
KCNG1,0.7
ILDR2,0.7
CDC123,0.7
KCNH3,0.7
XRRA1,0.7
CDH2,0.7
CD96,0.7
XYLB,0.7
CEP290,0.7
KCNJ3,0.7
IL4R,0.7
KCNJ5,0.7
WNT2B,0.7
TENT4A,0.7
KCNC1,0.7
CDC27,0.7
KCNA6,0.7
CDC37,0.7
JUNB,0.7
INPP5D,0.7
CDH16,0.7
INPP5B,0.7
INPP4A,0.7
CDH10,0.7
TCAIM,0.7
CEP135,0.7
XPNPEP3,0.7
INHBB,0.7
INF2,0.7
KAT14,0.7
KAT5,0.7
TEK,0.7
IMMT,0.7
XPOT,0.7
KBTBD6,0.7
TAS1R3,0.7
CCNG2,0.7
HOXD11,0.7
SV2C,0.7
HSF4,0.7
LHX4,0.7
HSF2BP,0.7
LIAS,0.7
LIF,0.7
LIFR,0.7
LILRA3,0.7
LILRA4,0.7
THAP9,0.7
LHFPL6,0.7
CCAR1,0.7
HSD17B2,0.7
LILRB3,0.7
HS6ST2,0.7
CGREF1,0.7
LIMD1,0.7
SUSD1,0.7
SUPT7L,0.7
LHX1,0.7
LHFPL3,0.7
SUPT6H,0.7
CCDC14,0.7
LCTL,0.7
CCDC158,0.7
LDHD,0.7
LDLRAD1,0.7
LEMD3,0.7
CCDC142,0.7
ZC3H6,0.7
LEPR,0.7
HSPA4L,0.7
HSF5,0.7
LGALS14,0.7
HSPA2,0.7
LGALS3BP,0.7
CFHR5,0.7
HSP90AA1,0.7
LGI3,0.7
CCDC13,0.7
CCDC125,0.7
HS3ST4,0.7
CBX8,0.7
WIPF1,0.7
LRCH3,0.7
CATSPERE,0.7
LOXL1,0.7
LOXL4,0.7
CAT,0.7
HPSE,0.7
CHAT,0.7
LPIN2,0.7
CASP5,0.7
LRFN1,0.7
HRAS,0.7
THG1L,0.7
CASP14,0.7
HPS3,0.7
HPR,0.7
CASKIN2,0.7
HPDL,0.7
ZDHHC18,0.7
HOXD9,0.7
SUCLA2,0.7
LNPEP,0.7
SUPT3H,0.7
LIPT1,0.7
SUPT20H,0.7
ZCCHC2,0.7
SULT6B1,0.7
SULT4A1,0.7
LINGO1,0.7
LINGO2,0.7
SULT2A1,0.7
CHADL,0.7
SULT1B1,0.7
CAVIN3,0.7
LMBRD2,0.7
HRH4,0.7
SUGT1,0.7
SUGP2,0.7
LMO7,0.7
CBLIF,0.7
CELF2,0.7
CHAF1B,0.7
ZC3H14,0.7
CFHR3,0.7
TGM3,0.7
KRT79,0.7
KRT38,0.7
KRT5,0.7
KRT6A,0.7
IFI16,0.7
TFPI2,0.7
CFAP45,0.7
WFS1,0.7
KRT75,0.7
BOLL,0.7
TFDP1,0.7
CCDC90B,0.7
TGFB1I1,0.7
TAF6L,0.7
ICAM5,0.7
KRTAP10-10,0.7
TAF5,0.7
CCDC86,0.7
ZBTB40,0.7
IFI44L,0.7
CCHCR1,0.7
TGM2,0.7
TARM1,0.7
CCNF,0.7
ZBTB17,0.7
CFAP210,0.7
KMT5B,0.7
TEX44,0.7
CCN3,0.7
KNSTRN,0.7
KNTC1,0.7
CCM2L,0.7
KRT36,0.7
KRT1,0.7
TAOK2,0.7
KRT12,0.7
WHR1,0.7
TFAP2C,0.7
TANGO6,0.7
KRT23,0.7
KRT35,0.7
TAF1A,0.7
TAF1,0.7
TADA3,0.7
LCE2A,0.7
LATS2,0.7
LAX1,0.7
LBP,0.7
TGFBR1,0.7
HUNK,0.7
LBR,0.7
CCDC186,0.7
LCA5L,0.7
LCE2C,0.7
TADA2B,0.7
SYNRG,0.7
TGFBR3,0.7
SYNPO2L,0.7
HTR1E,0.7
HTATSF1,0.7
HSPH1,0.7
CCDC178,0.7
LCP1,0.7
ZC2HC1C,0.7
LARP4,0.7
HYAL1,0.7
ZBTB9,0.7
CCDC8,0.7
KRTAP5-5,0.7
KY,0.7
L1TD1,0.7
TAAR6,0.7
L3MBTL1,0.7
CFAP70,0.7
ZBTB7A,0.7
CCDC6,0.7
CCDC50,0.7
IBSP,0.7
CCDC39,0.7
ZBTB8B,0.7
IARS1,0.7
SYT4,0.7
LARGE1,0.7
LARGE2,0.7
KRT8,0.7
NFKBIE,0.7
ZNF233,0.7
SH2D3A,0.7
PPP2R2B,0.7
PPP2R3A,0.7
PPP2R5B,0.7
SH3BP1,0.7
PPP3R1,0.7
AKNAD1,0.7
PPP6R1,0.7
PPP6R2,0.7
AKAP4,0.7
AKAP13,0.7
PRAG1,0.7
PPP2CA,0.7
AKAP12,0.7
SGSM3,0.7
PRDM1,0.7
AKAP10,0.7
PRDM11,0.7
SGO2,0.7
AKAP1,0.7
AK9,0.7
PRDM16,0.7
PRELP,0.7
PPP2R2A,0.7
PPP1R36,0.7
SLC16A7,0.7
ZNF750,0.7
SHMT2,0.7
POTEG,0.7
SHKBP1,0.7
POU2F2,0.7
POU6F2,0.7
PPAN,0.7
PPARGC1A,0.7
ALDH2,0.7
ZNF749,0.7
PPFIA1,0.7
PPFIA4,0.7
SH3RF2,0.7
PPHLN1,0.7
ALDH16A1,0.7
PPIP5K2,0.7
PPM1D,0.7
PPM1F,0.7
PPP1CA,0.7
SH3TC2,0.7
PPP1R13L,0.7
SH3TC1,0.7
PPP1R18,0.7
PREPL,0.7
ZNF772,0.7
PRKAB1,0.7
AFF3,0.7
PRR23B,0.7
SETD6,0.7
PRR7,0.7
AGBL3,0.7
AGBL2,0.7
ZNF788P,0.7
ZNF790,0.7
PRSS58,0.7
ZNF799,0.7
SERPINI2,0.7
SERPINC1,0.7
PRKACG,0.7
SERPINB6,0.7
SERPINA6,0.7
SERPINA3,0.7
PSMC4,0.7
AFAP1L1,0.7
AFAP1,0.7
PSMD5,0.7
SERINC2,0.7
SERF2,0.7
SEPTIN9,0.7
SETX,0.7
AGK,0.7
AGO1,0.7
AGO2,0.7
ZNF775,0.7
PRKAR1B,0.7
ZNF777,0.7
PRKD1,0.7
PRKG1,0.7
PRKG2,0.7
PRKN,0.7
PRKRA,0.7
PRLR,0.7
AHCTF1,0.7
PRND,0.7
SFI1,0.7
PROCR,0.7
PROKR2,0.7
AGTPBP1,0.7
PROM2,0.7
PROS1,0.7
ZNF783,0.7
AGO4,0.7
SF1,0.7
SEZ6L2,0.7
POT1,0.7
POR,0.7
POMGNT1,0.7
PISD,0.7
ZNF668,0.7
ANKRD26,0.7
ZNF669,0.7
ANKRD23,0.7
ANKRD18B,0.7
PIK3R3,0.7
PIK3R4,0.7
PIK3R5,0.7
PIP4K2A,0.7
PIP5K1A,0.7
ANKRD13C,0.7
ZNF679,0.7
PIWIL3,0.7
PJVK,0.7
ANKLE2,0.7
PKD1L2,0.7
ANKLE1,0.7
ANKEF1,0.7
PKN3,0.7
PKP3,0.7
PLA2G15,0.7
SKIC8,0.7
ZNF667,0.7
ANKRD30B,0.7
ZNF662,0.7
ANKRD34B,0.7
PHF10,0.7
PHF12,0.7
PHF21A,0.7
PHF3,0.7
PHF8,0.7
PHKB,0.7
PHKG1,0.7
ZNF644,0.7
PHOSPHO2,0.7
ANKS1B,0.7
SLC15A4,0.7
ZNF649,0.7
SLC13A2,0.7
PICK1,0.7
ANKRD44,0.7
PIGB,0.7
PIGG,0.7
PIGM,0.7
PIGO,0.7
ANKRD36,0.7
PIGT,0.7
PLA2G5,0.7
PLAT,0.7
POM121L2,0.7
PODN,0.7
PMEL,0.7
PMPCA,0.7
PNKD,0.7
PNKP,0.7
SIGLEC9,0.7
PNMA3,0.7
PNMA5,0.7
ZNF71,0.7
ALKBH8,0.7
POC1B,0.7
SIDT2,0.7
PLCD3,0.7
ZNF721,0.7
SIAE,0.7
POLM,0.7
POLN,0.7
POLR1B,0.7
ALG13,0.7
POLR3C,0.7
POLR3E,0.7
POLR3GL,0.7
SHROOM2,0.7
ZNF708,0.7
PLXNC1,0.7
PLXNA3,0.7
PLXDC1,0.7
ANAPC2,0.7
AMT,0.7
PLD5,0.7
AMPD3,0.7
PLEKHG2,0.7
PLEKHG3,0.7
ZNF7,0.7
AMIGO3,0.7
PLEKHH2,0.7
PLEKHH3,0.7
PLEKHN1,0.7
PLEKHO1,0.7
PLEKHS1,0.7
PLIN5,0.7
AMDHD2,0.7
PLPBP,0.7
PLPP1,0.7
PLPPR3,0.7
AMACR,0.7
ALX1,0.7
PLTP,0.7
PTAR1,0.7
PTBP3,0.7
SEPTIN10,0.7
RIN3,0.7
ACBD4,0.7
ZSCAN25,0.7
RHBG,0.7
RHO,0.7
SBF2,0.7
SAXO1,0.7
RIBC2,0.7
RIC1,0.7
SATB2,0.7
ACAD10,0.7
RIPOR2,0.7
RNF112,0.7
RIPOR3,0.7
ABR,0.7
RLF,0.7
RMDN2,0.7
RMI1,0.7
RMND1,0.7
SAP130,0.7
SAMM50,0.7
SAMHD1,0.7
RNASEH2A,0.7
SCAI,0.7
ZSCAN18,0.7
RGS6,0.7
ACE,0.7
SCMH1,0.7
RECK,0.7
RECQL,0.7
ACP7,0.7
ACP3,0.7
REPIN1,0.7
REST,0.7
ACOX2,0.7
ZRSR2,0.7
REXO1,0.7
REXO4,0.7
SCFD2,0.7
SCARB2,0.7
