gene,patient
SPTBN5,1.9
WDR97,1.9
SLC12A7,1.9
THSD7A,1.9
LAMA4,1.9
BAIAP3,1.9
C6,1.9
MCM3AP,1.9
NOD2,1.9
MTA1,1.9
SPATA31F1,1.9
LAMA3,1.9
NID2,1.9
L3MBTL4,1.9
LGR6,1.9
NIPBL,1.9
SYMPK,1.9
MIDEAS,1.9
NID1,1.9
PHF2,1.9
NBEA,1.9
SRRT,1.9
HIVEP3,1.9
HRNR,1.9
BDP1,1.9
OR4C6,1.9
SLC4A7,1.9
HELZ2,1.9
MXRA5,1.9
KMT2B,1.9
PHRF1,1.9
CCDC141,1.9
NLRP5,1.9
ANKS1A,1.9
LILRB1,1.9
TACC2,1.9
KIF5A,1.9
SUPT16H,1.9
ITPRID1,1.9
MATN4,1.9
LTBP4,1.9
SLITRK3,1.9
MAGI1,1.9
NRXN1,1.9
KAT2A,1.9
IQCN,1.9
MAGEC1,1.9
XPO4,1.9
ATP2B4,1.9
PABPC3,1.9
WWC1,1.9
LRP4,1.9
JMJD1C,1.9
CAND2,1.9
NUP210L,1.9
MTMR4,1.9
NUP210,1.9
LRTM3,1.9
ARHGEF18,1.9
ARHGEF17,1.9
TCF20,1.9
LRRIQ1,1.9
LRRCC1,1.9
PARP14,1.9
ARHGAP29,1.9
ITPR2,1.9
ITSN1,1.9
MYBPC3,1.9
PAMR1,1.9
CDC42BPB,1.9
SPHKAP,1.9
BCL9,1.9
NPR2,1.9
HUWE1,1.9
MYBBP1A,1.9
LMTK2,1.9
KCNV1,1.9
CFAP65,1.9
PCNX3,1.9
LMTK3,1.9
PCNT,1.9
PCED1A,1.9
NPAS3,1.9
BRCA1,1.9
PCDHGA12,1.9
NPR1,1.9
PCDHB4,1.9
ARID4A,1.9
KCNH1,1.9
MYH4,1.9
ZNF407,1.9
PCDHA4,1.9
SMOX,1.9
INSRR,1.9
PCDHA2,1.9
ZFP36L2,1.9
PCDHA13,1.9
BCL11A,1.9
BICRA,1.9
MYBPC2,1.9
MAML3,1.9
ICE1,1.9
RTL1,1.9
FGD1,1.9
PMS1,1.9
SCN8A,1.9
RIMS2,1.9
RBMXL3,1.9
FBXL17,1.9
PTPRF,1.9
AMOTL2,1.9
AMPD2,1.9
GRIN2B,1.9
RIPK4,1.9
PLEKHG5,1.9
ADAMTS5,1.9
COL20A1,1.9
ZNRF3,1.9
PLCE1,1.9
PTPN14,1.9
SKIC3,1.9
FGD5,1.9
SALL3,1.9
SBNO1,1.9
TSPOAP1,1.9
UMODL1,1.9
VWA5B2,1.9
PPRC1,1.9
COL4A4,1.9
ADCY2,1.9
EIF2AK3,1.9
ELP1,1.9
DAG1,1.9
COL6A5,1.9
SIPA1L2,1.9
PYGB,1.9
USP9Y,1.9
PLIN4,1.9
RAB14,1.9
EDIL3,1.9
TTBK1,1.9
PREX1,1.9
ADGRA2,1.9
ADAMTS9,1.9
UNC5D,1.9
CYP11B1,1.9
ELMO1,1.9
CUX1,1.9
UBR2,1.9
EYA1,1.9
TRPM6,1.9
PITPNM2,1.9
PRX,1.9
TSC2,1.9
UBR5,1.9
EPHB1,1.9
DGKB,1.9
SETD5,1.9
RADIL,1.9
CUBN,1.9
PKD1,1.9
AGAP1,1.9
RP1L1,1.9
USP34,1.9
GYS1,1.9
CRB2,1.9
GALNT9,1.9
PRRT4,1.9
DHX57,1.9
TRPM3,1.9
ZSWIM8,1.9
PRR12,1.9
UBE3B,1.9
ACVR2A,1.9
DIDO1,1.9
PIK3CG,1.9
ZFC3H1,1.6
LRIG2,1.6
LRP10,1.6
ADAM19,1.6
TRPC7,1.6
ADAMTSL1,1.6
ATP12A,1.6
ATG2B,1.6
ADAMTS2,1.6
ADAMTS10,1.6
USP9X,1.6
NUMA1,1.6
ADAMTS1,1.6
LRRC14B,1.6
CAMSAP3,1.6
F13B,1.6
LRP5,1.6
STK33,1.6
RAI1,1.6
USP48,1.6
RALGAPA2,1.6
TMC4,1.6
PTPRQ,1.6
CASR,1.6
SLC6A15,1.6
PTCH2,1.6
ADRB3,1.6
KRTAP4-6,1.6
CCDC80,1.6
PTCH1,1.6
FIRRM,1.6
CPXM2,1.6
KRT6B,1.6
KRT15,1.6
FLAD1,1.6
KMT2E,1.6
FLNA,1.6
ARSI,1.6
SETBP1,1.6
FMN1,1.6
KLHL30,1.6
KIRREL2,1.6
PRSS12,1.6
ZNF516,1.6
KIF4B,1.6
KIF2B,1.6
CR2,1.6
FGD6,1.6
QRFPR,1.6
LAMB1,1.6
CATSPER1,1.6
SLITRK2,1.6
SLIT3,1.6
ADCY6,1.6
FAM83H,1.6
ZNF462,1.6
FARP2,1.6
FBF1,1.6
SDK1,1.6
FBN3,1.6
ADGRG4,1.6
ADGRG7,1.6
ZC3HAV1,1.6
TMC8,1.6
FCRL3,1.6
ZC3H18,1.6
FDXR,1.6
PTPN21,1.6
SYNM,1.6
SLC8A2,1.6
CCDC40,1.6
EXPH5,1.6
CABIN1,1.6
TRPV2,1.6
DNER,1.6
NBEAL1,1.6
NBEAL2,1.6
ZNF292,1.6
NBPF10,1.6
DOCK2,1.6
NCAN,1.6
NCAPD3,1.6
BRPF1,1.6
DOCK8,1.6
DPP3,1.6
DPP6,1.6
SPEF2,1.6
UBA6,1.6
SOX17,1.6
NDST4,1.6
SORL1,1.6
ABTB3,1.6
MTOR,1.6
UNC5B,1.6
ACACB,1.6
RIMBP2,1.6
ROBO1,1.6
DNAJC13,1.6
