chembl_id,name,smiles,target_gene,activity_type,activity_nM,mw,logp,lipinski_violations,is_approved,is_clinical,n_net_targets,net_targets
CHEMBL1084546,CHEMBL1084546,CN(c1ncccc1CNc1nc(Nc2ccc3c(c2)CC(=O)N3)ncc1C(F)(F)F)S(C)(=O)=O,CDK4,Ki,63.1,0.0,0.0,0,False,False,1,CDK4
CHEMBL272265,CHEMBL272265,N#CCc1ccc(-n2cnc3cnc4ccc(C#Cc5cccnc5)cc4c32)cc1,PIK3CA,IC50,64.0,385.43,4.43,0,False,False,2,PIK3CA;PIK3CB
CHEMBL377304,CHEMBL377304,CN(C)CCOCCN(C)CCOc1cc(N2CCCC2)c(NC(=O)Nc2cnc(C#N)cn2)cc1Cl,CHEK1,IC50,64.0,531.06,3.13,1,False,False,1,CHEK1
CHEMBL5221008,CHEMBL5221008,Cn1cc(Cc2ccccc2Cl)c(-c2cc(Cl)nc(N)n2)n1,EZH2,IC50,64.0,334.21,3.36,0,False,False,1,EZH2
CHEMBL4244338,CHEMBL4244338,CN1CCN(S(=O)(=O)c2ccc(N3CCCC3)cc2)c2ccccc21,MDM2,EC50,65.0,357.48,2.93,0,False,False,1,MDM2
CHEMBL363857,CHEMBL363857,CN1CCN(c2ccc(C(=O)Nc3[nH]nc4c3CN(C(=O)Cc3ccsc3)C4)cc2)CC1,AURKA,IC50,65.0,450.57,2.56,0,False,False,1,AURKA
CHEMBL205543,CHEMBL205543,CN1CCN(c2cc(OC3CCOC3)c(NC(=O)Nc3cnc(C#N)cn3)cc2Cl)CC1,CHEK1,IC50,66.0,457.92,2.57,0,False,False,1,CHEK1
CHEMBL5220075,CHEMBL5220075,COc1ccccc1Cc1cn(C)nc1-c1cc(Cl)nc(N)n1,EZH2,IC50,67.0,329.79,2.71,0,False,False,1,EZH2
CHEMBL281028,CHEMBL281028,CC1(C)CCNc2cc3nc(O)cc(C(F)(F)F)c3cc21,AR,EC50,68.0,296.29,4.05,0,False,False,1,AR
CHEMBL210516,CHEMBL210516,COc1cc(NC(=O)CCc2ccccc2)c(Cl)cc1NC(=O)Nc1cnc(C#N)cn1,CHEK1,IC50,68.0,450.89,4.23,0,False,False,1,CHEK1
CHEMBL203275,CHEMBL203275,N[C@H](COc1cncc(/C=C/c2ccnc(NC3CC3)c2)c1)Cc1c[nH]c2ccccc12,AKT1,IC50,69.0,425.54,4.65,0,False,False,1,AKT1
CHEMBL247250,CHEMBL247250,CNC(=O)Nc1ccc(CNc2ncsc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)cn1,BRAF,IC50,69.0,462.44,3.48,0,False,False,2,BRAF;MAPK1
CHEMBL177538,CHEMBL177538,CCCS(=O)(=O)NCCCOc1nc(C2CC2)nc(NS(=O)(=O)c2ccc(C(C)C)cn2)c1Oc1ccccc1OC,CHEK2,Kd,69.18,619.77,4.57,1,False,False,1,CHEK2
CHEMBL322957,CHEMBL322957,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1cccc(Br)c1,PARP1,IC50,70.0,452.33,1.48,0,False,False,1,PARP1
CHEMBL410733,CHEMBL410733,Nc1cccnc1N1CCN(C(=O)CNC(=O)CCn2c3c(c(=O)[nH]c2=O)CSCC3)CC1,PARP1,IC50,70.0,473.56,-0.84,0,False,False,1,PARP1
CHEMBL107616,CHEMBL107616,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1cccc(-c2ccccc2)c1,PARP1,IC50,70.0,449.53,2.38,0,False,False,1,PARP1
CHEMBL214282,CHEMBL214282,CN1C(=O)C[C@H](c2ccccc2)[C@@H]1[C@H](O)c1ccc(S(=O)(=O)N2CCOCC2)s1,KRAS,IC50,70.0,436.56,1.82,0,False,False,1,KRAS
CHEMBL31400,CHEMBL31400,O=C1c2cccc3cccc(c23)C(=O)N1CCNCCCNCCN1C(=O)c2cccc3cccc(c23)C1=O,MAP2K1,IC50,70.0,0.0,0.0,0,False,False,1,MAP2K1
CHEMBL203007,CHEMBL203007,COc1cc2c(Nc3cnc(NC(=O)c4ccc(C)c(Br)c4)nc3)ncnc2cc1OCCCN1CCOCC1,AURKA,IC50,70.0,608.5,4.6,1,False,False,1,AURKA
