chembl_id,name,smiles,target_gene,population_target,source,activity_nM,mw,logp,qed,sa_score,admet_score,est_emax_s,est_emax_r,generation_method,score_efficacy,score_selectivity,score_safety,score_resistance,score_novelty,score_synthesizability,score_overall,rank
CHEMBL207994,CHEMBL207994,COc1cc(OC)c(NC(=O)Nc2cnc(C#N)cn2)cc1Cl,CHEK1,resistant,scout1,7.0,0.0,0.0,0.89,2.37,100.0,0.001577,0.007887,database_search,63.1,99.3,100.0,78.9,80,84.8,83.8,49
CHEMBL192161,CHEMBL192161,CC1(COc2ccc(Cl)cc2NC(=O)Nc2cnc(C#N)cn2)COC1,CHEK1,resistant,scout1,7.0,0.0,0.0,0.833,2.74,100.0,0.001577,0.007887,database_search,63.1,99.3,100.0,78.9,80,80.7,83.6,50
CHEMBL133855,CHEMBL133855,CCOC(=O)c1ccc(-c2nc3c(C(N)=O)cccc3[nH]2)cc1,PARP1,resistant,scout1,8.1,0.0,0.0,0.723,2.0,100.0,0.001546,0.007729,database_search,61.8,99.2,100.0,77.3,80,88.9,83.4,51
CHEMBL423573,CHEMBL423573,O=C1NCCc2c(-c3ccccc3Cl)[nH]c3cccc1c23,PARP1,resistant,scout1,8.0,0.0,0.0,0.705,2.36,100.0,0.001548,0.007742,database_search,61.9,99.2,100.0,77.4,80,84.9,83.2,52
CHEMBL3951966,CHEMBL3951966,CN(C)CCCOc1ccc(-c2cc3c(cc2F)ncc2c3n(C3(C)CCOCC3)c(=O)n2C)cn1,ATM,resistant,scout1,2.03,0.0,0.0,0.363,3.22,97.3,0.001846,0.009231,database_search,73.8,79.8,97.3,92.3,80,75.3,83.2,53
CHEMBL344741,CHEMBL344741,O=C1NCCc2c(-c3ccc[nH]3)[nH]c3cccc1c23,PARP1,resistant,scout1,8.0,0.0,0.0,0.611,2.83,100.0,0.001548,0.007742,database_search,61.9,99.2,100.0,77.4,80,79.7,83.0,54
CHEMBL372543,CHEMBL372543,O/N=C1/CCc2cc(-c3[nH]c(-c4ccccc4)nc3-c3ccncc3)ccc21,BRAF,escape_route,scout1,1.3,0.0,0.0,0.399,2.53,100.0,0.003886,0.005829,database_search,64.8,99.9,100.0,69.9,80,83.0,83.0,55
CHEMBL425904,CHEMBL425904,CC(CN(C)C)Oc1ccc(Cl)cc1NC(=O)Nc1cnc(C#N)cn1,CHEK1,resistant,scout1,8.0,0.0,0.0,0.805,3.03,100.0,0.001548,0.007742,database_search,61.9,99.2,100.0,77.4,80,77.4,82.9,56
CHEMBL5220895,CHEMBL5220895,Cn1cc(Cc2ccccc2OCCN2CC3CC(C2)O3)c(-c2cc(Cl)nc(N)n2)n1,EZH2,resistant,scout1,6.7,0.0,0.0,0.564,4.44,100.0,0.001587,0.007935,database_search,63.5,99.3,100.0,79.3,80,61.8,82.9,57
CHEMBL383264,CHEMBL383264,N[C@H](COc1cncc(-c2ccc3cnccc3c2)c1)Cc1c[nH]c2ccccc12,AKT1,escape_route,scout1,1.3,0.0,0.0,0.437,2.88,100.0,0.003886,0.005829,database_search,64.8,99.9,100.0,69.9,80,79.1,82.8,58
CHEMBL323488,CHEMBL323488,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc2ccccc2c1,PARP1,resistant,scout1,8.5,0.0,0.0,0.59,2.66,100.0,0.001535,0.007676,database_search,61.4,99.2,100.0,76.8,80,81.6,82.8,59
CHEMBL562439,CHEMBL562439,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)N(C)C)CC4)c3n2)cc1,MTOR,escape_route,scout1,1.1,0.0,0.0,0.556,2.78,96.1,0.003959,0.005938,database_search,66.0,99.9,96.1,71.3,80,80.2,82.7,60
CHEMBL313153,CHEMBL313153,O=C(O)c1c(Cc2cc3c(cc2Cl)OCO3)c(-c2cccs2)nn1CC1CCCCC1,CHEK2,resistant,scout1,1.7,0.0,0.0,0.5,2.82,90.0,0.001885,0.009424,database_search,75.4,79.9,90.0,94.2,80,79.8,82.7,61
