modifier,target,score,modifier_function,effect
DNMT1,TP53,997,Maintenance methyltransferase,methylation
DNMT1,DNMT3L,921,Maintenance methyltransferase,methylation
DNMT1,SETDB1,962,Maintenance methyltransferase,methylation
DNMT1,RPS27A,944,Maintenance methyltransferase,methylation
DNMT1,SETD7,936,Maintenance methyltransferase,methylation
DNMT1,UHRF2,941,Maintenance methyltransferase,methylation
DNMT1,MTA2,743,Maintenance methyltransferase,methylation
DNMT1,HNMT,746,Maintenance methyltransferase,methylation
DNMT1,SMARCA5,886,Maintenance methyltransferase,methylation
DNMT1,H2AZ1,723,Maintenance methyltransferase,methylation
DNMT1,SAP30,706,Maintenance methyltransferase,methylation
DNMT1,RUNX1,743,Maintenance methyltransferase,methylation
DNMT1,MAT2A,936,Maintenance methyltransferase,methylation
DNMT1,KMT5B,819,Maintenance methyltransferase,methylation
DNMT1,HNRNPD,968,Maintenance methyltransferase,methylation
DNMT1,HIC1,761,Maintenance methyltransferase,methylation
DNMT1,AHCYL2,919,Maintenance methyltransferase,methylation
DNMT1,SUZ12,911,Maintenance methyltransferase,methylation
DNMT1,EZH2,999,Maintenance methyltransferase,methylation
DNMT1,MAT2B,940,Maintenance methyltransferase,methylation
DNMT1,DNMT3B,999,Maintenance methyltransferase,methylation
DNMT1,SP1,773,Maintenance methyltransferase,methylation
DNMT1,H2AC20,854,Maintenance methyltransferase,methylation
DNMT1,H3C13,998,Maintenance methyltransferase,methylation
DNMT1,MTA1,785,Maintenance methyltransferase,methylation
DNMT1,CBX3,892,Maintenance methyltransferase,methylation
DNMT1,SUV39H1,998,Maintenance methyltransferase,methylation
DNMT1,EED,921,Maintenance methyltransferase,methylation
DNMT1,H3-5,975,Maintenance methyltransferase,methylation
DNMT1,KAT5,844,Maintenance methyltransferase,methylation
DNMT1,JARID2,700,Maintenance methyltransferase,methylation
DNMT1,USP7,999,Maintenance methyltransferase,methylation
DNMT1,SMARCA4,759,Maintenance methyltransferase,methylation
DNMT1,E2F1,964,Maintenance methyltransferase,methylation
DNMT1,SUV39H2,770,Maintenance methyltransferase,methylation
DNMT1,H3C12,998,Maintenance methyltransferase,methylation
DNMT1,KDM1A,998,Maintenance methyltransferase,methylation
DNMT1,KDM6A,829,Maintenance methyltransferase,methylation
DNMT1,H3C11,915,Maintenance methyltransferase,methylation
DNMT1,H3C15,915,Maintenance methyltransferase,methylation
DNMT1,TET2,874,Maintenance methyltransferase,methylation
DNMT1,H3C8,915,Maintenance methyltransferase,methylation
DNMT1,E2F4,860,Maintenance methyltransferase,methylation
DNMT1,H3C14,918,Maintenance methyltransferase,methylation
DNMT1,ENSG00000131845,799,Maintenance methyltransferase,methylation
DNMT1,H2AC18,803,Maintenance methyltransferase,methylation
DNMT1,CTCF,778,Maintenance methyltransferase,methylation
DNMT1,BMI1,791,Maintenance methyltransferase,methylation
DNMT1,AKT1,822,Maintenance methyltransferase,methylation
DNMT1,H3C7,915,Maintenance methyltransferase,methylation
DNMT1,H2BC21,797,Maintenance methyltransferase,methylation
DNMT1,SUMO1,725,Maintenance methyltransferase,methylation
DNMT1,NR2C2,819,Maintenance methyltransferase,methylation
DNMT1,H3C2,920,Maintenance methyltransferase,methylation
DNMT1,UBC,923,Maintenance methyltransferase,methylation
DNMT1,H3C10,917,Maintenance methyltransferase,methylation
DNMT1,WT1,722,Maintenance methyltransferase,methylation
DNMT1,H2BC3,715,Maintenance methyltransferase,methylation
DNMT1,HDAC2,999,Maintenance methyltransferase,methylation
DNMT1,TET1,902,Maintenance methyltransferase,methylation
DNMT1,BCL11A,899,Maintenance methyltransferase,methylation
DNMT1,CTNNB1,817,Maintenance methyltransferase,methylation
DNMT1,H3C1,961,Maintenance methyltransferase,methylation
DNMT1,COMMD3-BMI1,783,Maintenance methyltransferase,methylation
DNMT1,MAT1A,929,Maintenance methyltransferase,methylation
DNMT1,EHMT1,881,Maintenance methyltransferase,methylation
DNMT1,CDKN2A,703,Maintenance methyltransferase,methylation
DNMT1,H3C4,918,Maintenance methyltransferase,methylation
DNMT1,UBB,956,Maintenance methyltransferase,methylation
DNMT1,CHEK1,711,Maintenance methyltransferase,methylation
DNMT1,CBX1,923,Maintenance methyltransferase,methylation
DNMT1,ACTB,714,Maintenance methyltransferase,methylation
DNMT1,UHRF1,999,Maintenance methyltransferase,methylation
DNMT1,CHD4,831,Maintenance methyltransferase,methylation
DNMT1,TDG,794,Maintenance methyltransferase,methylation
DNMT1,MECP2,998,Maintenance methyltransferase,methylation
DNMT1,MYC,837,Maintenance methyltransferase,methylation
DNMT1,PARP1,952,Maintenance methyltransferase,methylation
DNMT1,H2AX,882,Maintenance methyltransferase,methylation
DNMT1,SIN3A,918,Maintenance methyltransferase,methylation
DNMT1,ATRX,814,Maintenance methyltransferase,methylation
DNMT1,BRCA1,799,Maintenance methyltransferase,methylation
DNMT1,H3C3,929,Maintenance methyltransferase,methylation
DNMT1,UBA52,934,Maintenance methyltransferase,methylation
DNMT1,RBBP4,858,Maintenance methyltransferase,methylation
DNMT1,RBBP7,781,Maintenance methyltransferase,methylation
DNMT1,ZEB1,897,Maintenance methyltransferase,methylation
DNMT1,DMAP1,998,Maintenance methyltransferase,methylation
DNMT1,BAZ2A,870,Maintenance methyltransferase,methylation
DNMT1,PCNA,991,Maintenance methyltransferase,methylation
DNMT1,HELLS,703,Maintenance methyltransferase,methylation
DNMT1,EHMT2,998,Maintenance methyltransferase,methylation
DNMT1,H3-2,997,Maintenance methyltransferase,methylation
DNMT1,MCM3,700,Maintenance methyltransferase,methylation
DNMT1,CDKL5,738,Maintenance methyltransferase,methylation
DNMT1,H3-4,987,Maintenance methyltransferase,methylation
DNMT1,HDAC1,999,Maintenance methyltransferase,methylation
DNMT1,PAX6,770,Maintenance methyltransferase,methylation
DNMT1,H3C6,929,Maintenance methyltransferase,methylation
DNMT1,TET3,881,Maintenance methyltransferase,methylation
DNMT1,AHCYL1,923,Maintenance methyltransferase,methylation
TET1,NANOG,993,DNA demethylase,demethylation
TET1,POU5F1,789,DNA demethylase,demethylation
TET1,ARID4B,765,DNA demethylase,demethylation
TET1,DNMT3A,886,DNA demethylase,demethylation
TET1,PRDM14,883,DNA demethylase,demethylation
TET1,PPARG,842,DNA demethylase,demethylation
TET1,PRMT5,887,DNA demethylase,demethylation
TET1,EZH2,764,DNA demethylase,demethylation
TET1,DNMT3B,831,DNA demethylase,demethylation
TET1,ARID4A,823,DNA demethylase,demethylation
TET1,DNMT1,902,DNA demethylase,demethylation
TET1,GADD45A,947,DNA demethylase,demethylation
TET1,HDAC1,951,DNA demethylase,demethylation
TET1,TET3,779,DNA demethylase,demethylation
TET1,SIN3A,959,DNA demethylase,demethylation
TET1,TDG,885,DNA demethylase,demethylation
TET1,MECP2,781,DNA demethylase,demethylation
TET1,OGT,950,DNA demethylase,demethylation
TET1,HDAC2,862,DNA demethylase,demethylation
TET1,KDM1A,750,DNA demethylase,demethylation
TET1,TET2,860,DNA demethylase,demethylation
TET2,STAG2,717,DNA demethylase,demethylation
TET2,SPI1,919,DNA demethylase,demethylation
TET2,NANOG,963,DNA demethylase,demethylation
TET2,FLT3,852,DNA demethylase,demethylation
TET2,TCF3,728,DNA demethylase,demethylation
TET2,DNMT3A,946,DNA demethylase,demethylation
TET2,TP53,755,DNA demethylase,demethylation
TET2,DNMT3L,880,DNA demethylase,demethylation
TET2,PRDM14,854,DNA demethylase,demethylation
TET2,KIT,786,DNA demethylase,demethylation
TET2,U2AF1,800,DNA demethylase,demethylation
TET2,STAT5B,771,DNA demethylase,demethylation
TET2,SNIP1,782,DNA demethylase,demethylation
TET2,NPM1,776,DNA demethylase,demethylation
TET2,RUNX1,869,DNA demethylase,demethylation
TET2,CXXC5,946,DNA demethylase,demethylation
TET2,ZRSR2,774,DNA demethylase,demethylation
TET2,HCFC1,818,DNA demethylase,demethylation
TET2,CD34,710,DNA demethylase,demethylation
TET2,PRMT5,813,DNA demethylase,demethylation
TET2,EZH2,875,DNA demethylase,demethylation
TET2,EBF1,976,DNA demethylase,demethylation
TET2,DNMT3B,852,DNA demethylase,demethylation
TET2,PHF6,706,DNA demethylase,demethylation
TET2,IDH2,871,DNA demethylase,demethylation
TET2,STAT5A,807,DNA demethylase,demethylation
TET2,SH2B3,839,DNA demethylase,demethylation
TET2,DNMT1,874,DNA demethylase,demethylation
TET2,NRAS,766,DNA demethylase,demethylation
TET2,HDAC1,882,DNA demethylase,demethylation
TET2,TET1,860,DNA demethylase,demethylation
TET2,OGT,985,DNA demethylase,demethylation
TET2,KLF4,795,DNA demethylase,demethylation
TET2,ASXL1,975,DNA demethylase,demethylation
TET2,WT1,868,DNA demethylase,demethylation
TET2,JAK2,917,DNA demethylase,demethylation
TET2,SRSF2,841,DNA demethylase,demethylation
TET2,TDG,751,DNA demethylase,demethylation
TET2,CXXC4,923,DNA demethylase,demethylation
TET2,ETV6,794,DNA demethylase,demethylation
TET2,RELA,702,DNA demethylase,demethylation
TET2,TET3,964,DNA demethylase,demethylation
TET2,IDH1,914,DNA demethylase,demethylation
TET2,DCAF1,833,DNA demethylase,demethylation
TET2,CEBPA,718,DNA demethylase,demethylation
TET2,HDAC2,989,DNA demethylase,demethylation
TET2,SETBP1,748,DNA demethylase,demethylation
TET3,NANOG,886,DNA demethylase,demethylation
TET3,DNMT3A,802,DNA demethylase,demethylation
TET3,HCFC1,711,DNA demethylase,demethylation
TET3,PRMT5,882,DNA demethylase,demethylation
TET3,DNMT3B,783,DNA demethylase,demethylation
TET3,DNMT1,881,DNA demethylase,demethylation
TET3,TET1,779,DNA demethylase,demethylation
TET3,OGT,975,DNA demethylase,demethylation
TET3,TDG,809,DNA demethylase,demethylation
TET3,SIN3A,860,DNA demethylase,demethylation
TET3,TET2,964,DNA demethylase,demethylation
EZH2,SNAI2,843,Histone methyltransferase,H3K27me3 (silencing)
EZH2,HDAC7,713,Histone methyltransferase,H3K27me3 (silencing)
EZH2,CBX5,746,Histone methyltransferase,H3K27me3 (silencing)
EZH2,SIRT1,942,Histone methyltransferase,H3K27me3 (silencing)
EZH2,CBX7,996,Histone methyltransferase,H3K27me3 (silencing)
EZH2,AURKA,761,Histone methyltransferase,H3K27me3 (silencing)
EZH2,AGO2,779,Histone methyltransferase,H3K27me3 (silencing)
EZH2,RELB,801,Histone methyltransferase,H3K27me3 (silencing)
EZH2,DDX5,802,Histone methyltransferase,H3K27me3 (silencing)
EZH2,PCGF1,985,Histone methyltransferase,H3K27me3 (silencing)
EZH2,EGR1,798,Histone methyltransferase,H3K27me3 (silencing)
EZH2,TWIST1,773,Histone methyltransferase,H3K27me3 (silencing)
EZH2,SNAI1,998,Histone methyltransferase,H3K27me3 (silencing)
EZH2,H4C6,977,Histone methyltransferase,H3K27me3 (silencing)
EZH2,SOX4,874,Histone methyltransferase,H3K27me3 (silencing)
EZH2,SCML2,958,Histone methyltransferase,H3K27me3 (silencing)
EZH2,TRIM28,887,Histone methyltransferase,H3K27me3 (silencing)
EZH2,RARA,866,Histone methyltransferase,H3K27me3 (silencing)
EZH2,H3-3B,990,Histone methyltransferase,H3K27me3 (silencing)
EZH2,KDM6B,942,Histone methyltransferase,H3K27me3 (silencing)
EZH2,PHC2,955,Histone methyltransferase,H3K27me3 (silencing)
EZH2,MDM2,945,Histone methyltransferase,H3K27me3 (silencing)
EZH2,EPC2,836,Histone methyltransferase,H3K27me3 (silencing)
EZH2,DAB2IP,749,Histone methyltransferase,H3K27me3 (silencing)
EZH2,POU5F1,736,Histone methyltransferase,H3K27me3 (silencing)
EZH2,KMT2C,792,Histone methyltransferase,H3K27me3 (silencing)
EZH2,YY1,998,Histone methyltransferase,H3K27me3 (silencing)
EZH2,RCOR1,909,Histone methyltransferase,H3K27me3 (silencing)
EZH2,CREBBP,818,Histone methyltransferase,H3K27me3 (silencing)
EZH2,E2F3,732,Histone methyltransferase,H3K27me3 (silencing)
EZH2,EPC1,817,Histone methyltransferase,H3K27me3 (silencing)
EZH2,EP300,963,Histone methyltransferase,H3K27me3 (silencing)
EZH2,BRD4,850,Histone methyltransferase,H3K27me3 (silencing)
EZH2,RBBP5,876,Histone methyltransferase,H3K27me3 (silencing)
EZH2,HDAC4,739,Histone methyltransferase,H3K27me3 (silencing)
EZH2,STAT3,973,Histone methyltransferase,H3K27me3 (silencing)
EZH2,DNMT3A,999,Histone methyltransferase,H3K27me3 (silencing)
EZH2,CDK2,702,Histone methyltransferase,H3K27me3 (silencing)
EZH2,RB1,861,Histone methyltransferase,H3K27me3 (silencing)
EZH2,PML,741,Histone methyltransferase,H3K27me3 (silencing)
EZH2,NCOR1,812,Histone methyltransferase,H3K27me3 (silencing)
EZH2,ASXL3,810,Histone methyltransferase,H3K27me3 (silencing)
EZH2,TP53,899,Histone methyltransferase,H3K27me3 (silencing)
EZH2,CBX8,968,Histone methyltransferase,H3K27me3 (silencing)
EZH2,CBX4,969,Histone methyltransferase,H3K27me3 (silencing)
EZH2,DNMT3L,892,Histone methyltransferase,H3K27me3 (silencing)
EZH2,MEIS1,703,Histone methyltransferase,H3K27me3 (silencing)
EZH2,EGFR,741,Histone methyltransferase,H3K27me3 (silencing)
EZH2,MTA2,816,Histone methyltransferase,H3K27me3 (silencing)
EZH2,MYCN,952,Histone methyltransferase,H3K27me3 (silencing)
EZH2,SMARCA5,856,Histone methyltransferase,H3K27me3 (silencing)
EZH2,PPARG,778,Histone methyltransferase,H3K27me3 (silencing)
EZH2,U2AF1,725,Histone methyltransferase,H3K27me3 (silencing)
EZH2,STAT5B,901,Histone methyltransferase,H3K27me3 (silencing)
EZH2,H2AZ1,784,Histone methyltransferase,H3K27me3 (silencing)
EZH2,MELK,738,Histone methyltransferase,H3K27me3 (silencing)
EZH2,RUNX1,703,Histone methyltransferase,H3K27me3 (silencing)
EZH2,HDAC3,989,Histone methyltransferase,H3K27me3 (silencing)
EZH2,H2AC8,956,Histone methyltransferase,H3K27me3 (silencing)
EZH2,PTGDR,817,Histone methyltransferase,H3K27me3 (silencing)
EZH2,CBX2,980,Histone methyltransferase,H3K27me3 (silencing)
EZH2,REST,721,Histone methyltransferase,H3K27me3 (silencing)
EZH2,SUZ12,999,Histone methyltransferase,H3K27me3 (silencing)
EZH2,SCMH1,724,Histone methyltransferase,H3K27me3 (silencing)
EZH2,PRMT5,870,Histone methyltransferase,H3K27me3 (silencing)
EZH2,CHD3,829,Histone methyltransferase,H3K27me3 (silencing)
EZH2,KDM4A,736,Histone methyltransferase,H3K27me3 (silencing)
EZH2,STAT5A,896,Histone methyltransferase,H3K27me3 (silencing)
EZH2,MYC,984,Histone methyltransferase,H3K27me3 (silencing)
EZH2,MECP2,732,Histone methyltransferase,H3K27me3 (silencing)
EZH2,H4C9,839,Histone methyltransferase,H3K27me3 (silencing)
EZH2,PCGF2,971,Histone methyltransferase,H3K27me3 (silencing)
EZH2,ACTB,702,Histone methyltransferase,H3K27me3 (silencing)
EZH2,CBX1,847,Histone methyltransferase,H3K27me3 (silencing)
EZH2,CDYL,900,Histone methyltransferase,H3K27me3 (silencing)
EZH2,H2AC20,872,Histone methyltransferase,H3K27me3 (silencing)
EZH2,UHRF1,810,Histone methyltransferase,H3K27me3 (silencing)
EZH2,CHD4,993,Histone methyltransferase,H3K27me3 (silencing)
EZH2,CAMKMT,824,Histone methyltransferase,H3K27me3 (silencing)
EZH2,H4C2,843,Histone methyltransferase,H3K27me3 (silencing)
EZH2,SH2B3,746,Histone methyltransferase,H3K27me3 (silencing)
