smiles,target_gene,generation_method,qed,sa_score,mw,predicted_ic50_nM,binding_energy_kcal,best_similarity,mean_similarity,confidence,n_references
C.COc1ncc(/C=C/C(=O)N2C[C@H]3C[C@@]34C2=CC(=O)c2[nH]c(C)c(S(N)(=O)=O)c24)cn1,MAP2K1,bioisostere,0.657,4.0,457.5,3.63,-10.92,0.467,0.338,0.701,10
COC(=O)c1c(C)[nH]c2c1[C@@]13C[C@@H]1CN(C(=O)/C=C/c1ccc(OC4CC4)nn1)C3=CC2=O,MAP2K1,r_group,0.554,4.1,446.5,3.64,-10.92,0.516,0.357,0.775,10
COC(=S)c1c(C)[nH]c2c1[C@@]13C[C@@H]1CN(C(=O)/C=C/c1cnc(OC)nc1)C3=CC2=O,MAP2K1,bioisostere,0.58,3.9,436.5,3.65,-10.92,0.689,0.386,1.0,10
CCOC(=O)c1c(C)[nH]c2c1[C@@]13C[C@@H]1CN(C(=O)/C=C/c1ccc(OC)nn1)C3=CC2=O,MAP2K1,r_group,0.567,4.0,434.5,3.66,-10.92,0.439,0.34,0.659,10
COc1ccc(/C=C/C(=O)N2C[C@H]3C[C@@]34C2=CC(=O)c2[nH]c(C)c(C(=O)OC(F)(F)F)c24)nn1,MAP2K1,r_group,0.535,4.2,474.4,3.67,-10.92,0.561,0.36,0.842,10
CCc1[nH]c2c(c1C(=O)OC)[C@@]13C[C@@H]1CN(C(=O)/C=C/c1ccc(OC)nn1)C3=CC2=O,MAP2K1,r_group,0.566,4.0,434.5,3.68,-10.91,0.424,0.316,0.636,10
C.COc1ccc(/C=C/C(=O)N2C[C@H]3C[C@@]34C2=CC(=O)c2[nH]c(C)c(S(N)(=O)=O)c24)nn1,MAP2K1,bioisostere,0.657,4.0,457.5,3.69,-10.91,0.463,0.359,0.695,10
NS(=O)(=O)C(=O)c1c(Cc2cc3c(cc2Cl)OCO3)c(-c2cccs2)nn1CC1CCCCC1,CHEK2,r_group,0.507,4.2,522.0,3.69,-10.91,0.498,0.358,0.747,10
CNc1c(OC)cc2cc(C(=O)N3C[C@H]4C[C@@]45C3=CC(=O)c3c5c(C(=O)OC)c(C)n3C)[nH]c2c1OC,MAP2K1,bioisostere,0.513,4.6,504.5,3.71,-10.91,0.498,0.351,0.747,10
COC(=S)c1c(C)[nH]c2c1[C@@]13C[C@@H]1CN(C(=O)/C=C/c1ccc(OC)nn1)C3=CC2=O,MAP2K1,bioisostere,0.58,3.9,436.5,3.73,-10.91,0.489,0.353,0.733,10
C.COc1ccc(/C=C/C(=O)N2C[C@H]3C[C@@]34C2=CC(=O)c2[nH]c(C)c(C(N)=O)c24)nn1,MAP2K1,bioisostere,0.723,3.9,421.5,3.76,-10.9,0.46,0.359,0.689,10
COc1ncc(/C=C/C(=O)N2C[C@H]3C[C@@]34C2=CC(=O)c2[nH]c(C)c(C(=O)SC)c24)cn1,MAP2K1,bioisostere,0.734,3.9,436.5,3.77,-10.9,0.523,0.32,0.784,10
O=C1CNCCN1Cc1ccc(Oc2ncc3c4ccncc4n(C4CCCC4)c3n2)nc1,CDK6,bioisostere,0.506,4.1,443.5,3.77,-10.9,0.465,0.35,0.698,10
C.COc1ncc(/C=C/C(=O)N2C[C@H]3C[C@@]34C2=CC(=O)c2[nH]c(C)c(C(N)=O)c24)cn1,MAP2K1,bioisostere,0.723,3.9,421.5,3.79,-10.9,0.546,0.379,0.819,10
c1cc2c3cnc(Oc4cnc(N5CCNCC5)nc4)nc3n(C3CCCC3)c2cn1,CDK6,bioisostere,0.542,3.9,416.5,3.84,-10.89,0.521,0.403,0.781,10
CNC.COc1ccc(/C=C/C(=O)N2C[C@H]3C[C@@]34C2=CC(=O)c2[nH]c(C)cc24)nn1.O,MAP2K1,bioisostere,0.706,3.9,425.5,3.84,-10.89,0.512,0.362,0.769,10
