mutation,drug,n_mut,n_wt,mut_median,wt_median,diff,pval,direction,rank,bh_threshold,fdr_significant,bh_rank
IDH2,Lenalidomide,45,259,231.9,255.4,23.5,0.0051565715709436,sensitive,152,0.0070895522388059705,True,152
NRAS,MLN120B,91,444,252.5,240.1,-12.4,0.0051571992603308,resistant,153,0.007136194029850746,True,153
NPM1,SR9011,89,214,241.8,257.7,15.9,0.005245861244784,sensitive,154,0.007182835820895523,True,154
NRAS,GSK-1904529A,88,445,257.7,246.7,-11.0,0.0052649336853156,resistant,155,0.0072294776119402986,True,155
NRAS,SB-431542,89,452,261.0,251.5,-9.4,0.0052918978076076,resistant,156,0.007276119402985075,True,156
NPM1,Venetoclax,120,310,128.5,166.5,38.0,0.0059002692393056,sensitive,157,0.007322761194029851,True,157
IDH2,STO609,60,430,247.3,262.5,15.2,0.0059040909739333,sensitive,158,0.0073694029850746275,True,158
NRAS,AZD1152-HQPA (AZD2811),88,449,232.5,222.0,-10.5,0.0059477863693193,resistant,159,0.007416044776119403,True,159
NPM1,Elesclomol,126,379,42.0,33.0,-8.9,0.0059571179416872,resistant,160,0.007462686567164179,True,160
TP53,JNJ-7706621,46,495,247.9,238.1,-9.7,0.00618452100262,resistant,161,0.0075093283582089556,True,161
NPM1,AT7519,128,400,119.9,132.7,12.8,0.0064096156101863,sensitive,162,0.007555970149253731,True,162
NRAS,KU-55933,87,445,254.1,241.1,-13.0,0.006448517926197,resistant,163,0.007602611940298508,True,163
IDH2,Artemisinin,34,187,240.8,267.4,26.6,0.0064764237661005,sensitive,164,0.0076492537313432845,True,164
IDH2,PP242,65,473,111.4,134.0,22.5,0.0064844933696222,sensitive,165,0.007695895522388059,True,165
NRAS,Lenvatinib,78,315,184.0,163.0,-21.0,0.0065507948564758,resistant,166,0.007742537313432837,True,166
NPM1,Ralimetinib (LY2228820),18,32,88.8,156.5,67.7,0.0065594489983083,sensitive,167,0.007789179104477612,True,167
NPM1,PHT-427,132,393,281.0,274.0,-7.0,0.0066426223503893,resistant,168,0.00783582089552239,True,168
IDH2,RAF265 (CHIR-265),62,469,146.8,160.6,13.8,0.0068621399553115,sensitive,169,0.007882462686567166,True,169
NRAS,Panobinostat,68,260,60.3,73.2,12.9,0.0069729217341558,sensitive,170,0.00792910447761194,True,170
DNMT3A,Ponatinib (AP24534),69,303,120.8,141.6,20.8,0.0070531107467539,sensitive,171,0.007975746268656717,True,171
NRAS,PHA-665752,88,445,230.3,216.0,-14.3,0.0071535596117359,resistant,172,0.008022388059701492,True,172
IDH2,Motesanib (AMG-706),62,469,252.7,229.9,-22.8,0.0075179429503019,resistant,173,0.008069029850746269,True,173
TP53,SNS-032 (BMS-387032),46,495,108.2,87.4,-20.8,0.0076568816717508,resistant,174,0.008115671641791045,True,174
TP53,Foretinib (XL880),45,491,149.5,115.9,-33.6,0.0077906240290077,resistant,175,0.00816231343283582,True,175
NRAS,MK-2206,89,437,186.1,213.7,27.6,0.0078008232763381,sensitive,176,0.008208955223880599,True,176
IDH2,Neratinib (HKI-272),64,471,148.4,157.6,9.2,0.007976587286647,sensitive,177,0.008255597014925373,True,177
FLT3,AT7519,64,464,119.1,132.3,13.2,0.0080600104976396,sensitive,178,0.00830223880597015,True,178
IDH2,VX-745,63,476,185.0,203.1,18.1,0.0082546346330218,sensitive,179,0.008348880597014927,True,179
