chembl_id,name,smiles,target_gene,activity_type,activity_nM,mw,logp,lipinski_violations,is_approved,is_clinical,n_net_targets,net_targets,population_target,est_emax_s,est_emax_r
CHEMBL323488,CHEMBL323488,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc2ccccc2c1,PARP1,IC50,8.5,423.49,1.87,0,False,False,1,PARP1,resistant,0.001535,0.007676
CHEMBL314206,CHEMBL314206,COc1ccc(Cn2nc(-c3cccs3)c(Cc3cc4c(cc3Cl)OCO4)c2C(=O)O)c(OCC(=O)O)c1,CHEK2,IC50,8.6,556.98,4.8,1,False,False,1,CHEK2,resistant,0.001533,0.007664
CHEMBL3698731,CHEMBL3698731,NCC1CCN(c2ccc(Nc3ncc4c5ccncc5n(C5CCCC5)c4n3)nn2)CC1,CDK6,IC50,8.8,443.56,3.8,0,False,False,1,CDK6,sensitive,0.007639,0.001146
CHEMBL191822,CHEMBL191822,COc1ccc(C(=O)C(=O)c2ccccc2Cl)cc1OC,FOLH1,Ki,8.9,304.73,3.42,0,False,False,1,FOLH1,other,0.003813,0.003813
CHEMBL1274,CHEMBL1274,CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O,AR,IC50,9.0,0.0,0.0,0,False,False,1,AR,sensitive,0.007614,0.001142
CHEMBL27812,CHEMBL27812,Oc1cc(C(F)(F)F)c2cc3c(cc2n1)NC[C@@H]1CCC[C@H]31,AR,EC50,9.0,308.3,4.27,0,False,False,1,AR,sensitive,0.007614,0.001142
CHEMBL4243509,CHEMBL4243509,COc1ccc2c(c1)CCCN2S(=O)(=O)c1ccc(N2CCCC2=O)cc1,MDM2,EC50,9.0,386.47,2.96,0,False,False,1,MDM2,sensitive,0.007614,0.001142
CHEMBL258721,CHEMBL258721,CC(C)c1nn(-c2c(Cl)cccc2Cl)c2nc(Cc3ccc(OCCO)cc3)[nH]c(=O)c12,CDK4,IC50,9.0,473.36,4.5,0,False,False,1,CDK4,sensitive,0.007614,0.001142
CHEMBL1084715,CHEMBL1084715,CCNc1nc(C)c(-c2ccnc(Nc3ccc(CNC(C)=O)cc3)n2)s1,CDK4,Ki,9.0,382.49,3.72,0,False,False,1,CDK4,sensitive,0.007614,0.001142
CHEMBL361708,HYMENIALDISINE,NC1=NC(=O)/C(=C2\CCNC(=O)c3[nH]c(Br)cc32)N1,MAPK1,IC50,9.0,324.14,0.07,0,False,False,1,MAPK1,sensitive,0.007614,0.001142
CHEMBL385266,CHEMBL385266,CN1CCN(c2ccc(C(=O)Nc3n[nH]c4c3CN(C(=O)[C@H](F)c3ccccc3)C4)cc2)CC1,AURKA,IC50,9.0,462.53,2.97,0,False,False,1,AURKA,resistant,0.001523,0.007614
CHEMBL3698724,CHEMBL3698724,O=S1(=O)CCN(c2ccc(Nc3ncc4c5ccncc5n(C5CCCC5)c4n3)nn2)CC1,CDK6,IC50,9.2,464.56,2.86,0,False,False,1,CDK6,sensitive,0.007591,0.001139
CHEMBL388978,STAUROSPORINE,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEK1,IC50,9.5,466.54,4.35,0,False,False,1,CHEK1,resistant,0.001511,0.007556
